Alleles Observed-SFS Expected
0 0.992500 0.992500
1 0.002622 0.002437
2 0.000928 0.001105
3 0.000617 0.000635
4 0.000380 0.000418
5 0.000293 0.000298
6 0.000233 0.000226
7 0.000190 0.000179
8 0.000167 0.000147
9 0.000160 0.000125
10 0.000114 0.000108
11 0.000103 0.000096
12 0.000103 0.000086
13 0.000076 0.000079
14 0.000108 0.000073
15 0.000073 0.000068
16 0.000075 0.000064
17 0.000071 0.000060
18 0.000062 0.000057
19 0.000041 0.000055
20 0.000046 0.000053
21 0.000052 0.000051
22 0.000034 0.000049
23 0.000034 0.000047
24 0.000039 0.000046
25 0.000057 0.000045
26 0.000039 0.000043
27 0.000030 0.000042
28 0.000044 0.000041
29 0.000039 0.000041
30 0.000032 0.000040
31 0.000023 0.000039
32 0.000039 0.000038
33 0.000041 0.000038
34 0.000039 0.000037
35 0.000034 0.000037
36 0.000036 0.000036
37 0.000039 0.000036
38 0.000044 0.000035
39 0.000032 0.000035
40 0.000025 0.000035
41 0.000036 0.000034
42 0.000032 0.000034
43 0.000041 0.000034
44 0.000030 0.000034
45 0.000016 0.000034
46 0.000025 0.000034
47 0.000032 0.000033
48 0.000023 0.000033
49 0.000034 0.000033
50 0.000016 0.000017
