Alleles Observed-SFS Expected
0 0.992500 0.992498
1 0.002622 0.002612
2 0.000928 0.001042
3 0.000617 0.000551
4 0.000380 0.000366
5 0.000293 0.000273
6 0.000233 0.000217
7 0.000190 0.000180
8 0.000167 0.000154
9 0.000160 0.000134
10 0.000114 0.000118
11 0.000103 0.000106
12 0.000103 0.000096
13 0.000076 0.000088
14 0.000108 0.000081
15 0.000073 0.000075
16 0.000075 0.000070
17 0.000071 0.000066
18 0.000062 0.000062
19 0.000041 0.000059
20 0.000046 0.000056
21 0.000052 0.000053
22 0.000034 0.000051
23 0.000034 0.000049
24 0.000039 0.000047
25 0.000057 0.000045
26 0.000039 0.000044
27 0.000030 0.000042
28 0.000044 0.000041
29 0.000039 0.000040
30 0.000032 0.000039
31 0.000023 0.000038
32 0.000039 0.000037
33 0.000041 0.000036
34 0.000039 0.000036
35 0.000034 0.000035
36 0.000036 0.000034
37 0.000039 0.000034
38 0.000044 0.000033
39 0.000032 0.000033
40 0.000025 0.000033
41 0.000036 0.000032
42 0.000032 0.000032
43 0.000041 0.000032
44 0.000030 0.000031
45 0.000016 0.000031
46 0.000025 0.000031
47 0.000032 0.000031
48 0.000023 0.000031
49 0.000034 0.000031
50 0.000016 0.000015
