Alleles Observed-SFS Expected
0 0.992448 0.992448
1 0.002197 0.002170
2 0.000923 0.000954
3 0.000555 0.000539
4 0.000320 0.000362
5 0.000315 0.000270
6 0.000192 0.000216
7 0.000197 0.000182
8 0.000203 0.000158
9 0.000149 0.000141
10 0.000101 0.000127
11 0.000101 0.000116
12 0.000107 0.000108
13 0.000085 0.000101
14 0.000101 0.000094
15 0.000101 0.000089
16 0.000069 0.000084
17 0.000107 0.000080
18 0.000064 0.000077
19 0.000048 0.000074
20 0.000053 0.000071
21 0.000043 0.000068
22 0.000133 0.000066
23 0.000064 0.000064
24 0.000091 0.000062
25 0.000059 0.000061
26 0.000048 0.000059
27 0.000059 0.000058
28 0.000069 0.000056
29 0.000075 0.000055
30 0.000043 0.000054
31 0.000043 0.000053
32 0.000048 0.000052
33 0.000043 0.000051
34 0.000064 0.000051
35 0.000037 0.000050
36 0.000037 0.000049
37 0.000037 0.000049
38 0.000037 0.000048
39 0.000027 0.000048
40 0.000053 0.000047
41 0.000075 0.000047
42 0.000027 0.000047
43 0.000059 0.000046
44 0.000037 0.000046
45 0.000048 0.000046
46 0.000027 0.000046
47 0.000021 0.000046
48 0.000096 0.000045
49 0.000053 0.000045
50 0.000011 0.000023
