Alleles Observed-SFS Expected
0 0.994560 0.994580
1 0.002430 0.002332
2 0.000855 0.000950
3 0.000498 0.000506
4 0.000322 0.000311
5 0.000206 0.000209
6 0.000124 0.000149
7 0.000124 0.000111
8 0.000071 0.000086
9 0.000076 0.000069
10 0.000075 0.000056
11 0.000046 0.000047
12 0.000048 0.000040
13 0.000034 0.000035
14 0.000032 0.000031
15 0.000043 0.000028
16 0.000028 0.000025
17 0.000034 0.000023
18 0.000034 0.000022
19 0.000016 0.000020
20 0.000020 0.000019
21 0.000021 0.000018
22 0.000023 0.000017
23 0.000016 0.000016
24 0.000018 0.000015
25 0.000012 0.000015
26 0.000018 0.000014
27 0.000011 0.000014
28 0.000012 0.000013
29 0.000004 0.000013
30 0.000016 0.000012
31 0.000012 0.000012
32 0.000009 0.000012
33 0.000012 0.000012
34 0.000014 0.000011
35 0.000012 0.000011
36 0.000005 0.000011
37 0.000004 0.000011
38 0.000004 0.000011
39 0.000002 0.000010
40 0.000012 0.000010
41 0.000005 0.000010
42 0.000005 0.000010
43 0.000018 0.000010
44 0.000011 0.000010
45 0.000012 0.000010
46 0.000005 0.000010
47 0.000009 0.000010
48 0.000009 0.000010
49 0.000007 0.000010
50 0.000004 0.000005
