Alleles Observed-SFS Expected
0 0.998405 0.998405
1 0.000981 0.000734
2 0.000208 0.000270
3 0.000085 0.000132
4 0.000085 0.000075
5 0.000048 0.000047
6 0.000027 0.000033
7 0.000016 0.000024
8 0.000016 0.000019
9 0.000016 0.000016
10 0.000011 0.000013
11 0.000016 0.000012
12 0.000005 0.000011
13 0.000016 0.000010
14 0.000005 0.000009
15 0.000000 0.000009
16 0.000016 0.000008
17 0.000000 0.000008
18 0.000005 0.000007
19 0.000000 0.000007
20 0.000005 0.000007
21 0.000005 0.000006
22 0.000000 0.000006
23 0.000000 0.000006
24 0.000011 0.000006
25 0.000000 0.000006
26 0.000005 0.000006
27 0.000000 0.000005
28 0.000000 0.000005
29 0.000000 0.000005
30 0.000000 0.000005
31 0.000000 0.000005
32 0.000000 0.000005
33 0.000000 0.000005
34 0.000000 0.000005
35 0.000000 0.000005
36 0.000005 0.000005
37 0.000000 0.000005
38 0.000000 0.000005
39 0.000000 0.000005
40 0.000000 0.000004
41 0.000000 0.000004
42 0.000000 0.000004
43 0.000000 0.000004
44 0.000005 0.000004
45 0.000000 0.000004
46 0.000000 0.000004
47 0.000000 0.000004
48 0.000000 0.000004
49 0.000000 0.000004
50 0.000000 0.000002
