Alleles Observed-SFS Expected
0 0.986352 0.986352
1 0.005024 0.004767
2 0.002011 0.002193
3 0.001264 0.001299
4 0.000837 0.000869
5 0.000651 0.000623
6 0.000485 0.000468
7 0.000315 0.000364
8 0.000272 0.000291
9 0.000229 0.000238
10 0.000240 0.000198
11 0.000176 0.000168
12 0.000160 0.000145
13 0.000112 0.000126
14 0.000112 0.000112
15 0.000096 0.000100
16 0.000096 0.000091
17 0.000085 0.000083
18 0.000128 0.000077
19 0.000059 0.000071
20 0.000080 0.000067
21 0.000043 0.000063
22 0.000043 0.000060
23 0.000064 0.000057
24 0.000080 0.000055
25 0.000059 0.000053
26 0.000059 0.000051
27 0.000037 0.000049
28 0.000059 0.000048
29 0.000064 0.000046
30 0.000032 0.000045
31 0.000053 0.000044
32 0.000016 0.000044
33 0.000043 0.000043
34 0.000037 0.000042
35 0.000059 0.000041
36 0.000032 0.000041
37 0.000016 0.000040
38 0.000048 0.000040
39 0.000053 0.000039
40 0.000027 0.000039
41 0.000043 0.000039
42 0.000016 0.000038
43 0.000016 0.000038
44 0.000027 0.000038
45 0.000037 0.000038
46 0.000021 0.000038
47 0.000059 0.000038
48 0.000027 0.000037
49 0.000037 0.000037
50 0.000011 0.000019
