Alleles Observed-SFS Expected
0 0.998400 0.998814
1 0.001205 0.000700
2 0.000233 0.000212
3 0.000039 0.000088
4 0.000028 0.000045
5 0.000009 0.000027
6 0.000012 0.000018
7 0.000018 0.000013
8 0.000009 0.000010
9 0.000002 0.000008
10 0.000005 0.000007
11 0.000005 0.000006
12 0.000000 0.000005
13 0.000002 0.000004
14 0.000004 0.000004
15 0.000000 0.000003
16 0.000002 0.000003
17 0.000000 0.000003
18 0.000000 0.000002
19 0.000000 0.000002
20 0.000002 0.000002
21 0.000000 0.000002
22 0.000000 0.000002
23 0.000004 0.000001
24 0.000000 0.000001
25 0.000000 0.000001
26 0.000007 0.000001
27 0.000000 0.000001
28 0.000000 0.000001
29 0.000002 0.000001
30 0.000002 0.000001
31 0.000002 0.000001
32 0.000002 0.000001
33 0.000000 0.000001
34 0.000004 0.000001
35 0.000000 0.000001
36 0.000002 0.000001
37 0.000000 0.000001
38 0.000000 0.000001
39 0.000002 0.000001
40 0.000000 0.000001
41 0.000000 0.000000
42 0.000000 0.000000
43 0.000000 0.000000
44 0.000000 0.000000
45 0.000000 0.000000
46 0.000000 0.000000
47 0.000000 0.000000
48 0.000000 0.000000
49 0.000000 0.000000
50 0.000000 0.000000
