name fullpath selfing DFE output m1_count m2_count m4_count neutral_m4_count alpha
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE1_pos/output1.fixed 0 DFE1 1 1289 2566 7581 1 0.747018823297526
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE2_pos/output1.fixed 0 DFE2 1 1236 1120 7518 2 0.870108821486455
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE3_pos/output1.fixed 0 DFE3 1 1262 655 7044 3 0.914534355111053
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE1_pos/output1.fixed 50 DFE1 1 1250 2538 6204 2 0.709448638755434
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE2_pos/output1.fixed 50 DFE2 1 1238 1277 6007 0 0.824684239428885
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE3_pos/output1.fixed 50 DFE3 1 1211 665 5442 2 0.890781070902243
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE1_pos/output1.fixed 99 DFE1 1 1239 3483 1050 1 0.231414074564306
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE2_pos/output1.fixed 99 DFE2 1 1227 2476 968 0 0.281068524970964
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE3_pos/output1.fixed 99 DFE3 1 1262 1223 796 1 0.393759286775631
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE1_pos/output2.fixed 0 DFE1 2 1213 2468 7603 1 0.754840631516235
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE2_pos/output2.fixed 0 DFE2 2 1238 1217 7353 2 0.857759626604434
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE3_pos/output2.fixed 0 DFE3 2 1214 633 7190 0 0.919084750095871
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE1_pos/output2.fixed 50 DFE1 2 1228 2541 6231 1 0.710214318285454
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE2_pos/output2.fixed 50 DFE2 2 1270 1281 6100 1 0.826310797994852
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing50_DFE3_pos/output2.fixed 50 DFE3 2 1270 658 5554 2 0.89375402446877
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE1_pos/output2.fixed 99 DFE1 2 1154 3489 1037 2 0.228678745028723
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE2_pos/output2.fixed 99 DFE2 2 1303 2455 928 0 0.274312740171445
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing99_DFE3_pos/output2.fixed 99 DFE3 2 1216 1226 788 2 0.390268123138034
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE1_pos/output3.fixed 0 DFE1 3 1236 2528 7498 3 0.74755635348095
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/gammaDFE/pos/eqm_selfing0_DFE2_pos/output3.fixed 0 DFE2 3 1242 1197 7459 1 0.861598890942699
