name fullpath selfing DFE output m1_count m2_count m4_count neutral_m4_count alpha
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE1/output1.fixed 0 DFE1 1 1237 1390 933 0 0.401635815755489
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE2/output1.fixed 0 DFE2 1 1163 626 947 0 0.602034329307057
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE3/output1.fixed 0 DFE3 1 1277 452 870 1 0.657337367624811
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE1/output1.fixed 50 DFE1 1 1280 1591 919 0 0.366135458167331
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE2/output1.fixed 50 DFE2 1 1240 688 919 0 0.571873055382701
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE3/output1.fixed 50 DFE3 1 1278 499 815 0 0.620243531202435
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE1/output1.fixed 80 DFE1 1 1259 1832 815 0 0.307895731016245
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE2/output1.fixed 80 DFE2 1 1241 842 748 1 0.469811320754717
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE3/output1.fixed 80 DFE3 1 1248 534 638 1 0.543515358361775
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE1/output1.fixed 90 DFE1 1 1247 2329 661 0 0.221070234113712
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE2/output1.fixed 90 DFE2 1 1252 1136 618 0 0.352337514253136
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE3/output1.fixed 90 DFE3 1 1203 632 474 1 0.427667269439421
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE1/output1.fixed 95 DFE1 1 1263 2906 572 1 0.164174813110983
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE2/output1.fixed 95 DFE2 1 1238 1420 458 0 0.243876464323749
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE3/output1.fixed 95 DFE3 1 1214 760 346 0 0.312839059674503
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE1/output1.fixed 99 DFE1 1 1272 3308 350 0 0.0956806998359759
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE2/output1.fixed 99 DFE2 1 1230 2135 268 0 0.111527257594673
output1.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE3/output1.fixed 99 DFE3 1 1241 1065 208 0 0.163393558523174
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE1/output2.fixed 0 DFE1 2 1222 1476 885 0 0.374841168996188
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE2/output2.fixed 0 DFE2 2 1208 617 860 0 0.582261340555179
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE3/output2.fixed 0 DFE3 2 1208 473 845 1 0.640364188163885
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE1/output2.fixed 50 DFE1 2 1263 1527 933 1 0.378861788617886
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE2/output2.fixed 50 DFE2 2 1202 643 847 1 0.567785234899329
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE3/output2.fixed 50 DFE3 2 1255 494 838 0 0.629129129129129
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE1/output2.fixed 80 DFE1 2 1275 1781 828 0 0.317362974319663
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE2/output2.fixed 80 DFE2 2 1278 747 808 1 0.518971061093248
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE3/output2.fixed 80 DFE3 2 1277 514 596 0 0.536936936936937
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE1/output2.fixed 90 DFE1 2 1249 2187 678 0 0.236649214659686
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE2/output2.fixed 90 DFE2 2 1250 1057 593 2 0.358181818181818
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE3/output2.fixed 90 DFE3 2 1260 688 480 0 0.410958904109589
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE1/output2.fixed 95 DFE1 2 1243 2750 538 1 0.163321167883212
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE2/output2.fixed 95 DFE2 2 1266 1488 462 0 0.236923076923077
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE3/output2.fixed 95 DFE3 2 1275 736 342 0 0.317254174397032
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE1/output2.fixed 99 DFE1 2 1213 3300 336 0 0.0924092409240924
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE2/output2.fixed 99 DFE2 2 1205 2149 285 0 0.11709120788825
output2.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE3/output2.fixed 99 DFE3 2 1278 1039 210 0 0.168134507606085
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE1/output3.fixed 0 DFE1 3 1288 1434 958 3 0.399247491638796
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE2/output3.fixed 0 DFE2 3 1279 618 924 0 0.599221789883268
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE3/output3.fixed 0 DFE3 3 1256 445 867 0 0.660823170731707
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE1/output3.fixed 50 DFE1 3 1263 1524 923 0 0.377196567225174
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE2/output3.fixed 50 DFE2 3 1262 664 844 0 0.559681697612732
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing50_DFE3/output3.fixed 50 DFE3 3 1286 536 820 0 0.604719764011799
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE1/output3.fixed 80 DFE1 3 1298 1814 791 0 0.303646833013436
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE2/output3.fixed 80 DFE2 3 1225 772 719 0 0.482226693494299
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing80_DFE3/output3.fixed 80 DFE3 3 1200 572 628 0 0.523333333333333
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE1/output3.fixed 90 DFE1 3 1140 2248 700 0 0.237449118046133
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE2/output3.fixed 90 DFE2 3 1241 1077 645 0 0.374564459930314
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing90_DFE3/output3.fixed 90 DFE3 3 1186 646 489 0 0.430837004405286
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE1/output3.fixed 95 DFE1 3 1189 2751 534 0 0.162557077625571
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE2/output3.fixed 95 DFE2 3 1199 1450 460 0 0.240837696335079
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing95_DFE3/output3.fixed 95 DFE3 3 1227 791 306 0 0.27894257064722
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE1/output3.fixed 99 DFE1 3 1227 3428 327 1 0.0868175765645806
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE2/output3.fixed 99 DFE2 3 1244 2167 283 0 0.115510204081633
output3.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing99_DFE3/output3.fixed 99 DFE3 3 1177 979 178 0 0.153846153846154
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE1/output4.fixed 0 DFE1 4 1257 1440 935 0 0.393684210526316
output4.fixed /nas/longleaf/home/adaigle/work/johri_elegans/sim_outputs/low_positive/eqm_selfing0_DFE2/output4.fixed 0 DFE2 4 1267 624 949 1 0.602670057215512
