"","selfing","DFE","pn_avg","pn_sd","Lpn_avg","Lpn_sd","ps_avg","ps_sd","Lps_avg","Lps_sd","dn_avg","dn_sd","Ldn_avg","Ldn_sd","ds_avg","ds_sd","Lds_avg","Lds_sd","X.param_avg","X.param_sd","lnL_avg","lnL_sd","alpha_avg","alpha_sd","alpha_down_avg","alpha_down_sd","omegaA_avg","omegaA_sd","omegaA_down_avg","omegaA_down_sd","omegaA_up_avg","omegaA_up_sd","prop_subst_sdel_avg","prop_subst_sdel_sd","prop_subst_wdel_avg","prop_subst_wdel_sd","prop_subst_wadv_avg","prop_subst_wadv_sd","prop_subst_sadv_avg","prop_subst_sadv_sd","GammaZero.negGmean_avg","GammaZero.negGmean_sd","GammaZero.negGshape_avg","GammaZero.negGshape_sd","GammaZero.syno_orientation_error_avg","GammaZero.syno_orientation_error_sd","theta_avg","theta_sd","t0_avg","t0_sd","t1_avg","t1_sd","t2_avg","t2_sd","t3_avg","t3_sd"
"1","0","DFE1",13554.4,135.304471470828,562500,0,6273.4,72.1858711937454,187500,0,1062.4,18.4472220130837,562500,0,1203.2,28.9171229550936,187500,0,104,0,-596.06838,6.46310700569005,0.00466,0.0722823145727916,0,0,0.00166,0.021405209646252,0,0,0,0,0.007,0.00058309518948453,0.98832,0.0728348954828659,0,0,0.00466,0.0722823145727916,5.4262488,0.579269764893439,0.7704074,0.163592863350759,0.0021592,0.00284107254395237,0.0067074,7.7519674921919e-05,0.232286521660871,0.0275900363364966,0.602385322128286,0.0616059542543005,0.165326094923686,0.0354158946469472,2.06128715689591e-06,2.27117677052919e-06
"2","0","DFE2",7925,101.390334845093,562500,0,6153.4,97.2717841925396,187500,0,491.6,38.5525615231984,562500,0,1250.4,34.3918595019228,187500,0,104,0,-554.88082,9.83392125080329,-0.0145,0.0777734530543681,0,0,-0.00154,0.00956153753326315,0,0,0,0,0.00664,0.000207364413533277,1.00784,0.0775569016915967,0,0,-0.0145,0.0777734530543681,50.6042186,4.12344603698373,0.492748,0.0181011546454915,0.0017042,0.00373128144207858,0.0066532,0.000116669190448892,0.115173724901999,0.00568481144287116,0.232621423669309,0.00744307127500855,0.492715437450864,0.0124647600993205,0.159489413977828,0.0170440207992927
"3","0","DFE3",4271.8,48.9305630460145,562500,0,5765.4,35.8859303906141,187500,0,400.8,17.1376777890121,562500,0,1221.8,51.1976561963534,187500,0,104,0,-526.31826,4.6007819034377,0.05968,0.079080130247743,0,0,0.00682,0.00887056931656588,0,0,0,0,0.00346,0.000114017542509914,0.93686,0.0790819069067002,0,0,0.05968,0.079080130247743,627.1491234,107.887507931368,0.3185406,0.0205811346212982,0.004929,0.00236573889091759,0.006117,0.000159221543768424,0.100698934905652,0.00682411308671402,0.10839429219337,0.00251574600621937,0.221327776656533,0.014233125468128,0.569578996244444,0.0107124687716082
"4","50","DFE1",10069.4,119.475102008745,562500,0,4662.4,54.1183887417207,187500,0,1077.4,47.9405882316853,562500,0,1242.8,41.1545866216634,187500,0,104,0,-560.52026,7.27866318928138,0.00548,0.112116176352924,0,0,0.00316,0.0321023052131774,0,0,0,0,0.00758,0.000454972526643093,0.98692,0.112023533241904,0,0,0.00548,0.112116176352924,4.9675618,0.152010507857845,0.8517128,0.0940893466004521,0.0004034,0.000902029822123415,0.0049542,0.00017604459662256,0.219319647745963,0.0219751833926804,0.639834054391203,0.0310209497741096,0.140846244964917,0.0112608642333239,5.2897916996697e-08,5.46231144555975e-08
"5","50","DFE2",5832.2,105.454729623664,562500,0,4486.8,94.1817392067061,187500,0,491.6,14.909728367747,562500,0,1230,43.9715817318413,187500,0,104,0,-520.05924,4.00399606306003,-0.044,0.101351862341054,0,0,-0.0058,0.0134994444330128,0,0,0,0,0.00644,0.000357770876399966,1.03752,0.10158654930649,0,0,-0.044,0.101351862341054,51.9994702,6.63987449576987,0.4750356,0.0438903635642267,0.0016486,0.00363627897719633,0.00488,7.92243649390766e-05,0.122645805684185,0.0158788751783401,0.231773157979262,0.00888149456373476,0.481519158606069,0.0298996262464873,0.164061877730484,0.0239516850432142
"6","50","DFE3",3000.2,35.1809607600475,562500,0,4028.8,45.1298127627403,187500,0,408.2,23.1991379150174,562500,0,1221.6,48.6549072550755,187500,0,104,0,-491.4666,9.7594835321855,0.04118,0.0847316469803343,0,0,0.005,0.00937603327639146,0,0,0,0,0.00332,0.000303315017762062,0.95548,0.0845876291191566,0,0,0.04118,0.0847316469803343,730.7180632,133.387949220496,0.3032984,0.0205964707122361,0.0014852,0.00216660176313046,0.0043768,8.26964328130301e-05,0.106143836666074,0.0084219667537,0.106618852107694,0.00198044695709371,0.210994444392889,0.0124948234940642,0.576242866833342,0.00729647294887161
"7","80","DFE1",7944.8,115.346001231079,562500,0,3549.4,69.0239089011916,187500,0,1120.6,25.9672871128272,562500,0,1259.4,28.2542032271306,187500,0,104,0,-534.62424,6.35408521291618,-0.03112,0.114722238471885,0,0,-0.0085,0.0342132284357966,0,0,0,0,0.0072,0.000913783344124853,1.02392,0.115284179313555,0,0,-0.03112,0.114722238471885,4.4970756,0.806136647690266,0.9261912,0.303547240520648,0.0022116,0.00340074944681316,0.0039186,0.000175787655994384,0.232258229178431,0.0470804154868045,0.656746385169318,0.0974333329245612,0.110993584199956,0.053567428841831,1.80145229509709e-06,4.00883255533669e-06
"8","80","DFE2",4459.2,94.8930977468857,562500,0,3254.4,72.4865504766229,187500,0,529.8,24.2115674833333,562500,0,1224.8,61.4304484763053,187500,0,104,0,-487.57998,5.15784845618791,-0.01368,0.157272588202776,0,0,-0.00096,0.0217446085271729,0,0,0,0,0.00646,0.000808084154033477,1.00726,0.157280745801894,0,0,-0.01368,0.157272588202776,44.3963174,7.32847694118115,0.4871794,0.0597255200672208,0.002714,0.00311655643298818,0.0036986,0.000103331021479515,0.127712613649376,0.0193327991732116,0.24837005297672,0.0142483034744791,0.492290831975876,0.0374023434590257,0.131626501398028,0.0325124043844911
"9","80","DFE3",2046.6,67.633571545498,562500,0,2576.8,23.9102488485586,187500,0,432.2,25.1236939959075,562500,0,1215.4,47.7734235742008,187500,0,104,0,-445.46304,8.83369545450826,0.03272,0.122045675875879,0,0,0.00424,0.0143083192583895,0,0,0,0,0.00326,0.000304959013639538,0.96402,0.122216107776348,0,0,0.03272,0.122045675875879,743.1118774,415.726483328782,0.2989646,0.0467376825570117,0.0078458,0.00775011714105019,0.0028794,0.000134752736521378,0.115324880307952,0.0174159657181364,0.112106855537997,0.00842772843032556,0.220344819128745,0.0360745397613644,0.552223445025306,0.0283457208202609
"10","90","DFE1",6989.4,133.648045253195,562500,0,3142.8,97.7813888222089,187500,0,1160,25.8746980658712,562500,0,1237.2,22.2193609269034,187500,0,104,0,-520.21776,7.37114802035612,-0.0663,0.0167231874952116,0,0,-0.0207,0.00507789326394323,0,0,0,0,0.00592,0.000576194411635517,1.06038,0.0166675433102782,0,0,-0.0663,0.0167231874952116,5.2508492,1.07128404606911,0.651357,0.113617362086523,0.0034878,0.00440587751758943,0.003496,0.000140322842046475,0.279865560834467,0.0124198186132169,0.561678688863755,0.0617723838880383,0.158430999249118,0.049795760602417,2.47510526599992e-05,4.29593788969849e-05
