Nem,selfing,meta_pi_exp_avg,meta_pi_avg,subpop_pi_exp_avg,subpop_pi_avg,fst_exp_avg,fst_avg
0.1,0,0.00660253846153846,0.006594948,0.002541,0.002589874,0.615148019992311,0.607128196228988
0.1,50,0.00596728846153846,0.005985602,0.00190575,0.002107456,0.680633840263746,0.648247043066883
0.1,99,0.00534474346153846,0.005665464,0.001283205,0.0013986302,0.75991270502801,0.76400194163954
0.5,0,0.006781,0.00661015,0.005181,0.005072168,0.235953399203657,0.232652681485191
0.5,50,0.00548575,0.005369372,0.00388575,0.003746658,0.291664767807501,0.302287439106656
0.5,99,0.004216405,0.004253232,0.002616405,0.002910744,0.379470188466241,0.314024043557619
1,0,0.00659954482758621,0.006592584,0.0056892,0.005641412,0.137940547623974,0.144259956121973
1,50,0.00517724482758621,0.005187716,0.0042669,0.004341084,0.175835769391388,0.163169730951496
1,99,0.00378339082758621,0.004015436,0.002873046,0.003053354,0.240616121641074,0.240156538687748
2,0,0.00660048888888889,0.006567232,0.0061116,0.006110784,0.074068587512036,0.0695062101519046
2,50,0.00507258888888889,0.005078876,0.0045837,0.00457364,0.0963785750427681,0.0994957997697564
2,99,0.00357524688888889,0.003454258,0.003086358,0.002949646,0.136742693325111,0.143771463594902
10,0,0.00659833700787402,0.006579054,0.0064944,0.0064793,0.0157520005040641,0.0151633340558165
10,50,0.00497473700787402,0.004955444,0.0048708,0.004851334,0.0208929653385705,0.0210177096918115
10,99,0.00338360900787402,0.003308508,0.003279672,0.003226272,0.030717795002952,0.0251678700146909
