"","pi","pi_sd","segregating_sites","segregating_sites_sd","B","empirical_Ne"
"eqm_selfing0_DFE1","0.00626470485333333","8.60661664006943e-05","6284.6","72.1339032633061",0.949197705050504,4745.98852525252
"eqm_selfing0_DFE2","0.00614291114666667","0.000172063502880112","6166.4","98.768922237716",0.930744113131314,4653.72056565657
"eqm_selfing0_DFE3","0.00590035434666667","0.000100304852792036","5778.6","35.2888084242016",0.893993082828283,4469.96541414142
"eqm_selfing50_DFE1","0.00463527850666667","6.95793650436614e-05","4674","52.8961246217528",0.702314925252526,3511.57462626263
"eqm_selfing50_DFE2","0.00447763221333333","0.000182114824316567","4496.2","93.0521359239002",0.678429123232323,3392.14561616161
"eqm_selfing50_DFE3","0.0040629088","7.05751758293397e-05","4036","46.0543157586778",0.615592242424242,3077.96121212121
"eqm_selfing80_DFE1","0.00351616234666667","9.19236556183253e-05","3557.2","67.8726749141361",0.532751870707071,2663.75935353536
"eqm_selfing80_DFE2","0.00322131989333333","8.39938576466636e-05","3259.8","71.7962394558378",0.488078771717171,2440.39385858586
"eqm_selfing80_DFE3","0.00256872704","7.51136542376153e-05","2581.6","23.5966099260042",0.389201066666667,1946.00533333333
"eqm_selfing90_DFE1","0.002988304","8.9165192964968e-05","3148.6","96.7486434013418",0.452773333333333,2263.86666666667
"eqm_selfing90_DFE2","0.00225220010666667","9.10950959317375e-05","2415.2","89.6030133421862",0.341242440404041,1706.2122020202
"eqm_selfing90_DFE3","0.00165473216","7.4255926286348e-05","1787.8","49.9969999099946",0.250716993939394,1253.58496969697
"eqm_selfing95_DFE1","0.00244169194666667","0.00011939076685959","2665.8","83.9565363744837",0.369953325252526,1849.76662626263
"eqm_selfing95_DFE2","0.00114136","6.99625061826691e-05","1471.4","125.123139346805",0.172933333333333,864.666666666667
"eqm_selfing95_DFE3","0.00097230976","4.66443340123154e-05","1172.2","59.8389505255565",0.147319660606061,736.598303030303
"eqm_selfing99_DFE1","0.00110213397333333","0.000177353773791542","1627.2","130.551522396332",0.166989995959595,834.949979797977
"eqm_selfing99_DFE2","0.0002800992","9.52178320703521e-05","672.6","54.4912837066627",0.0424392727272727,212.196363636364
"eqm_selfing99_DFE3","0.000318555306666667","8.53904594705417e-05","626.6","74.3020861079956",0.0482659555555556,241.329777777778
"eqm_selfing0_DFE1_pos","0.00143568554666667","3.08966626814253e-05","2596.6","60.8383102986926",0.217528113131314,1087.64056565657
"eqm_selfing0_DFE2_pos","0.00148086421333333","5.12911390025044e-05","2581.6","64.2557390432948",0.224373365656565,1121.86682828283
"eqm_selfing0_DFE3_pos","0.00145442496","3.61194110495113e-05","2550.2","45.8606585212206",0.220367418181818,1101.83709090909
"eqm_selfing50_DFE1_pos","0.000944603946666667","6.774647195364e-05","1617.8","82.3024908493054",0.14312181010101,715.609050505051
"eqm_selfing50_DFE2_pos","0.00092167232","3.41319938187163e-05","1559.2","51.4752367648756",0.139647321212121,698.236606060606
"eqm_selfing50_DFE3_pos","0.000935725226666667","5.69967249328435e-05","1570.2","73.0458759958425",0.14177654949495,708.882747474748
"eqm_selfing99_DFE1_pos","0.00012582208","2.57535887718111e-05","354","54.060151683102",0.0190639515151515,95.3197575757575
"eqm_selfing99_DFE2_pos","0.000100289706666667","2.60389000058502e-05","325.8","25.4401257858526",0.0151954101010101,75.9770505050507
"eqm_selfing99_DFE3_pos","0.000109724586666667","3.14642062351068e-05","319.6","14.6731046476197",0.0166249373737374,83.1246868686871
