"","generation","DFE","selfing","value","sd","replicate","selfing_class","Nem"
"1","f0","DFE1","truth",0.204291490497034,0,1,"0% Selfing","Nem1"
"2","f0","DFE1","truth",0.204291490497034,0,2,"50% Selfing","Nem1"
"3","f0","DFE1","truth",0.204291490497034,0,6,"99% Selfing","Nem1"
"4","f0","DFE2","truth",0.112462916018285,0,1,"0% Selfing","Nem1"
"5","f0","DFE2","truth",0.112462916018285,0,2,"50% Selfing","Nem1"
"6","f0","DFE2","truth",0.112462916018285,0,6,"99% Selfing","Nem1"
"7","f0","DFE3","truth",0.0977430831943102,0,1,"0% Selfing","Nem1"
"8","f0","DFE3","truth",0.0977430831943102,0,2,"50% Selfing","Nem1"
"9","f0","DFE3","truth",0.0977430831943102,0,6,"99% Selfing","Nem1"
"10","f1","DFE1","truth",0.655391553835657,0,1,"0% Selfing","Nem1"
"11","f1","DFE1","truth",0.655391553835657,0,2,"50% Selfing","Nem1"
"12","f1","DFE1","truth",0.655391553835657,0,6,"99% Selfing","Nem1"
"13","f1","DFE2","truth",0.232816237963138,0,1,"0% Selfing","Nem1"
"14","f1","DFE2","truth",0.232816237963138,0,2,"50% Selfing","Nem1"
"15","f1","DFE2","truth",0.232816237963138,0,6,"99% Selfing","Nem1"
"16","f1","DFE3","truth",0.0971585977061945,0,1,"0% Selfing","Nem1"
"17","f1","DFE3","truth",0.0971585977061945,0,2,"50% Selfing","Nem1"
"18","f1","DFE3","truth",0.0971585977061945,0,6,"99% Selfing","Nem1"
"19","f2","DFE1","truth",0.140316945048907,0,1,"0% Selfing","Nem1"
"20","f2","DFE1","truth",0.140316945048907,0,2,"50% Selfing","Nem1"
"21","f2","DFE1","truth",0.140316945048907,0,6,"99% Selfing","Nem1"
"22","f2","DFE2","truth",0.497421638968293,0,1,"0% Selfing","Nem1"
"23","f2","DFE2","truth",0.497421638968293,0,2,"50% Selfing","Nem1"
"24","f2","DFE2","truth",0.497421638968293,0,6,"99% Selfing","Nem1"
"25","f2","DFE3","truth",0.191576054325077,0,1,"0% Selfing","Nem1"
"26","f2","DFE3","truth",0.191576054325077,0,2,"50% Selfing","Nem1"
"27","f2","DFE3","truth",0.191576054325077,0,6,"99% Selfing","Nem1"
"28","f3","DFE1","truth",1.06184019910138e-08,0,1,"0% Selfing","Nem1"
"29","f3","DFE1","truth",1.06184019910138e-08,0,2,"50% Selfing","Nem1"
"30","f3","DFE1","truth",1.06184019910138e-08,0,6,"99% Selfing","Nem1"
"31","f3","DFE2","truth",0.157299207050284,0,1,"0% Selfing","Nem1"
"32","f3","DFE2","truth",0.157299207050284,0,2,"50% Selfing","Nem1"
"33","f3","DFE2","truth",0.157299207050284,0,6,"99% Selfing","Nem1"
"34","f3","DFE3","truth",0.613522264774418,0,1,"0% Selfing","Nem1"
"35","f3","DFE3","truth",0.613522264774418,0,2,"50% Selfing","Nem1"
"36","f3","DFE3","truth",0.613522264774418,0,6,"99% Selfing","Nem1"
"37","f0","DFE1","DFE-alpha",0.257350106900309,0.0130691812587159,NA,"0% Selfing","Nem1"
"38","f0","DFE2","DFE-alpha",0.129172928144728,0.00749693431093096,NA,"0% Selfing","Nem1"
"39","f0","DFE3","DFE-alpha",0.104827256732825,0.00244455795353599,NA,"0% Selfing","Nem1"
"40","f0","DFE1","DFE-alpha",0.260714211851631,0.0247924123201538,NA,"50% Selfing","Nem1"
"41","f0","DFE2","DFE-alpha",0.135674178805639,0.00373598898061306,NA,"50% Selfing","Nem1"
"42","f0","DFE3","DFE-alpha",0.109229574603637,0.00929877431077585,NA,"50% Selfing","Nem1"
"43","f0","DFE1","DFE-alpha",0.601738433946546,0.0191129621051449,NA,"99% Selfing","Nem1"
"44","f0","DFE2","DFE-alpha",0.420422906492728,0.0274109604827168,NA,"99% Selfing","Nem1"
"45","f0","DFE3","DFE-alpha",0.236240408419074,0.00765664897487169,NA,"99% Selfing","Nem1"
"46","f1","DFE1","DFE-alpha",0.625319408062016,0.0240642769487335,NA,"0% Selfing","Nem1"
"47","f1","DFE2","DFE-alpha",0.237887048887941,0.00938640321458579,NA,"0% Selfing","Nem1"
"48","f1","DFE3","DFE-alpha",0.100124830837673,0.00185731427733488,NA,"0% Selfing","Nem1"
"49","f1","DFE1","DFE-alpha",0.631549064862726,0.0448628887147373,NA,"50% Selfing","Nem1"
"50","f1","DFE2","DFE-alpha",0.238435901106812,0.00712480882772619,NA,"50% Selfing","Nem1"
"51","f1","DFE3","DFE-alpha",0.101500417534251,0.00353605521602758,NA,"50% Selfing","Nem1"
"52","f1","DFE1","DFE-alpha",0.320758633075687,0.0390712343035701,NA,"99% Selfing","Nem1"
"53","f1","DFE2","DFE-alpha",0.292749990784511,0.0688979696591983,NA,"99% Selfing","Nem1"
"54","f1","DFE3","DFE-alpha",0.146230338920425,0.0260580686120636,NA,"99% Selfing","Nem1"
"55","f2","DFE1","DFE-alpha",0.117330452379225,0.0148807375078337,NA,"0% Selfing","Nem1"
"56","f2","DFE2","DFE-alpha",0.47904202786687,0.0166629190954182,NA,"0% Selfing","Nem1"
"57","f2","DFE3","DFE-alpha",0.193587030982046,0.00439392027025143,NA,"0% Selfing","Nem1"
"58","f2","DFE1","DFE-alpha",0.107736634121915,0.0206783040298045,NA,"50% Selfing","Nem1"
"59","f2","DFE2","DFE-alpha",0.471340429088618,0.00936500094063279,NA,"50% Selfing","Nem1"
"60","f2","DFE3","DFE-alpha",0.194564644528553,0.0176235860306192,NA,"50% Selfing","Nem1"
"61","f2","DFE1","DFE-alpha",0.0772285691903621,0.0437407249124664,NA,"99% Selfing","Nem1"
"62","f2","DFE2","DFE-alpha",0.256349437365713,0.0319416764658405,NA,"99% Selfing","Nem1"
"63","f2","DFE3","DFE-alpha",0.231347187347968,0.0529014801154368,NA,"99% Selfing","Nem1"
"64","f3","DFE1","DFE-alpha",3.26584497001292e-08,5.5446173331151e-08,NA,"0% Selfing","Nem1"
"65","f3","DFE2","DFE-alpha",0.153897995100461,0.0209759628489939,NA,"0% Selfing","Nem1"
"66","f3","DFE3","DFE-alpha",0.601460881447456,0.00718919269784826,NA,"0% Selfing","Nem1"
"67","f3","DFE1","DFE-alpha",8.91637284727853e-08,1.92727599763764e-07,NA,"50% Selfing","Nem1"
"68","f3","DFE2","DFE-alpha",0.154549490998931,0.0156409969708824,NA,"50% Selfing","Nem1"
"69","f3","DFE3","DFE-alpha",0.594705363333559,0.012449004460374,NA,"50% Selfing","Nem1"
