"","generation","DFE","selfing","value","sd","replicate","selfing_class","Nem"
"1","f0","DFE1","truth",0.204291490497034,0,1,"0% Selfing","Nem10"
"2","f0","DFE1","truth",0.204291490497034,0,2,"50% Selfing","Nem10"
"3","f0","DFE1","truth",0.204291490497034,0,6,"99% Selfing","Nem10"
"4","f0","DFE2","truth",0.112462916018285,0,1,"0% Selfing","Nem10"
"5","f0","DFE2","truth",0.112462916018285,0,2,"50% Selfing","Nem10"
"6","f0","DFE2","truth",0.112462916018285,0,6,"99% Selfing","Nem10"
"7","f0","DFE3","truth",0.0977430831943102,0,1,"0% Selfing","Nem10"
"8","f0","DFE3","truth",0.0977430831943102,0,2,"50% Selfing","Nem10"
"9","f0","DFE3","truth",0.0977430831943102,0,6,"99% Selfing","Nem10"
"10","f1","DFE1","truth",0.655391553835657,0,1,"0% Selfing","Nem10"
"11","f1","DFE1","truth",0.655391553835657,0,2,"50% Selfing","Nem10"
"12","f1","DFE1","truth",0.655391553835657,0,6,"99% Selfing","Nem10"
"13","f1","DFE2","truth",0.232816237963138,0,1,"0% Selfing","Nem10"
"14","f1","DFE2","truth",0.232816237963138,0,2,"50% Selfing","Nem10"
"15","f1","DFE2","truth",0.232816237963138,0,6,"99% Selfing","Nem10"
"16","f1","DFE3","truth",0.0971585977061945,0,1,"0% Selfing","Nem10"
"17","f1","DFE3","truth",0.0971585977061945,0,2,"50% Selfing","Nem10"
"18","f1","DFE3","truth",0.0971585977061945,0,6,"99% Selfing","Nem10"
"19","f2","DFE1","truth",0.140316945048907,0,1,"0% Selfing","Nem10"
"20","f2","DFE1","truth",0.140316945048907,0,2,"50% Selfing","Nem10"
"21","f2","DFE1","truth",0.140316945048907,0,6,"99% Selfing","Nem10"
"22","f2","DFE2","truth",0.497421638968293,0,1,"0% Selfing","Nem10"
"23","f2","DFE2","truth",0.497421638968293,0,2,"50% Selfing","Nem10"
"24","f2","DFE2","truth",0.497421638968293,0,6,"99% Selfing","Nem10"
"25","f2","DFE3","truth",0.191576054325077,0,1,"0% Selfing","Nem10"
"26","f2","DFE3","truth",0.191576054325077,0,2,"50% Selfing","Nem10"
"27","f2","DFE3","truth",0.191576054325077,0,6,"99% Selfing","Nem10"
"28","f3","DFE1","truth",1.06184019910138e-08,0,1,"0% Selfing","Nem10"
"29","f3","DFE1","truth",1.06184019910138e-08,0,2,"50% Selfing","Nem10"
"30","f3","DFE1","truth",1.06184019910138e-08,0,6,"99% Selfing","Nem10"
"31","f3","DFE2","truth",0.157299207050284,0,1,"0% Selfing","Nem10"
"32","f3","DFE2","truth",0.157299207050284,0,2,"50% Selfing","Nem10"
"33","f3","DFE2","truth",0.157299207050284,0,6,"99% Selfing","Nem10"
"34","f3","DFE3","truth",0.613522264774418,0,1,"0% Selfing","Nem10"
"35","f3","DFE3","truth",0.613522264774418,0,2,"50% Selfing","Nem10"
"36","f3","DFE3","truth",0.613522264774418,0,6,"99% Selfing","Nem10"
"37","f0","DFE1","DFE-alpha",0.224140659334262,0.0175716657842845,NA,"0% Selfing","Nem10"
"38","f0","DFE2","DFE-alpha",0.123572434037382,0.00355232995492723,NA,"0% Selfing","Nem10"
"39","f0","DFE3","DFE-alpha",0.101473205633249,0.00527563853622418,NA,"0% Selfing","Nem10"
"40","f0","DFE1","DFE-alpha",0.231938023989761,0.0192789228014907,NA,"50% Selfing","Nem10"
"41","f0","DFE2","DFE-alpha",0.126346690373755,0.00624633649579035,NA,"50% Selfing","Nem10"
"42","f0","DFE3","DFE-alpha",0.106190824451713,0.0041394179964801,NA,"50% Selfing","Nem10"
"43","f0","DFE1","DFE-alpha",0.573211392660652,0.0248627689872426,NA,"99% Selfing","Nem10"
"44","f0","DFE2","DFE-alpha",0.40636135367306,0.0176966871126929,NA,"99% Selfing","Nem10"
"45","f0","DFE3","DFE-alpha",0.212995033249182,0.0038035441289497,NA,"99% Selfing","Nem10"
"46","f1","DFE1","DFE-alpha",0.646516683953697,0.0500005529215723,NA,"0% Selfing","Nem10"
"47","f1","DFE2","DFE-alpha",0.229396271225742,0.00574369374188457,NA,"0% Selfing","Nem10"
"48","f1","DFE3","DFE-alpha",0.0986796040127715,0.0030389263680839,NA,"0% Selfing","Nem10"
"49","f1","DFE1","DFE-alpha",0.627775744495266,0.0575563362671663,NA,"50% Selfing","Nem10"
"50","f1","DFE2","DFE-alpha",0.230917238315182,0.00686498306938191,NA,"50% Selfing","Nem10"
"51","f1","DFE3","DFE-alpha",0.0991111206373635,0.00515431051512666,NA,"50% Selfing","Nem10"
"52","f1","DFE1","DFE-alpha",0.31239242601371,0.0739767589603432,NA,"99% Selfing","Nem10"
"53","f1","DFE2","DFE-alpha",0.340935652263933,0.0648360836947229,NA,"99% Selfing","Nem10"
"54","f1","DFE3","DFE-alpha",0.171974004225404,0.0153436152575493,NA,"99% Selfing","Nem10"
"55","f2","DFE1","DFE-alpha",0.129342439331205,0.0347378649519758,NA,"0% Selfing","Nem10"
"56","f2","DFE2","DFE-alpha",0.476294676863444,0.00705673860193975,NA,"0% Selfing","Nem10"
"57","f2","DFE3","DFE-alpha",0.192637301351962,0.00805080132394111,NA,"0% Selfing","Nem10"
"58","f2","DFE1","DFE-alpha",0.140285149455804,0.038552296538524,NA,"50% Selfing","Nem10"
"59","f2","DFE2","DFE-alpha",0.474451096099364,0.0163591942701854,NA,"50% Selfing","Nem10"
"60","f2","DFE3","DFE-alpha",0.189767898664631,0.0130083714656145,NA,"50% Selfing","Nem10"
"61","f2","DFE1","DFE-alpha",0.1133215438003,0.0561060170162501,NA,"99% Selfing","Nem10"
"62","f2","DFE2","DFE-alpha",0.242916588178391,0.04242889020651,NA,"99% Selfing","Nem10"
"63","f2","DFE3","DFE-alpha",0.291450957448081,0.0312901718438229,NA,"99% Selfing","Nem10"
"64","f3","DFE1","DFE-alpha",2.17380835826342e-07,4.54809818460607e-07,NA,"0% Selfing","Nem10"
"65","f3","DFE2","DFE-alpha",0.170736617873432,0.0128981926699605,NA,"0% Selfing","Nem10"
"66","f3","DFE3","DFE-alpha",0.607209889002017,0.0115035216012815,NA,"0% Selfing","Nem10"
"67","f3","DFE1","DFE-alpha",1.08205916883319e-06,2.0856039875196e-06,NA,"50% Selfing","Nem10"
"68","f3","DFE2","DFE-alpha",0.168284975211699,0.0177452718655191,NA,"50% Selfing","Nem10"
"69","f3","DFE3","DFE-alpha",0.604930156246293,0.0194913677950606,NA,"50% Selfing","Nem10"
"70","f3","DFE1","DFE-alpha",0.00107463752533745,0.00128684382642963,NA,"99% Selfing","Nem10"
"71","f3","DFE2","DFE-alpha",0.00978640588461628,0.00846973920121344,NA,"99% Selfing","Nem10"
"72","f3","DFE3","DFE-alpha",0.323580005077333,0.0439059228486393,NA,"99% Selfing","Nem10"
"73","f0","DFE1","GRAPES",0.22872635089895,0.0345893925902901,NA,"0% Selfing","Nem10"
"74","f0","DFE2","GRAPES",0.121605347300373,0.00332164262049788,NA,"0% Selfing","Nem10"
"75","f0","DFE3","GRAPES",0.10138457869311,0.00464647415156535,NA,"0% Selfing","Nem10"
"76","f0","DFE1","GRAPES",0.241810552212386,0.0267738393627972,NA,"50% Selfing","Nem10"
"77","f0","DFE2","GRAPES",0.118696520487434,0.00811476736427172,NA,"50% Selfing","Nem10"
"78","f0","DFE3","GRAPES",0.108481654407303,0.00993112415342295,NA,"50% Selfing","Nem10"
"79","f0","DFE1","GRAPES",0.567473671401077,0.197002973143231,NA,"99% Selfing","Nem10"
"80","f0","DFE2","GRAPES",0.545782051110506,0.106571071710419,NA,"99% Selfing","Nem10"
"81","f0","DFE3","GRAPES",0.240570116004694,0.0548315869752923,NA,"99% Selfing","Nem10"
"82","f1","DFE1","GRAPES",0.629483232409448,0.0726631095122466,NA,"0% Selfing","Nem10"
"83","f1","DFE2","GRAPES",0.235594715944287,0.0058930851031058,NA,"0% Selfing","Nem10"
"84","f1","DFE3","GRAPES",0.106746174921184,0.00311792810843172,NA,"0% Selfing","Nem10"
"85","f1","DFE1","GRAPES",0.5999360596423,0.0569348712030461,NA,"50% Selfing","Nem10"
"86","f1","DFE2","GRAPES",0.242953097714052,0.0077933962953857,NA,"50% Selfing","Nem10"
"87","f1","DFE3","GRAPES",0.108125278127858,0.00615711968920966,NA,"50% Selfing","Nem10"
"88","f1","DFE1","GRAPES",0.398900712365657,0.212753300229927,NA,"99% Selfing","Nem10"
"89","f1","DFE2","GRAPES",0.270521327940933,0.0554318295318999,NA,"99% Selfing","Nem10"
"90","f1","DFE3","GRAPES",0.135062016748083,0.0179367666896248,NA,"99% Selfing","Nem10"
"91","f2","DFE1","GRAPES",0.141789997541831,0.0414824055871951,NA,"0% Selfing","Nem10"
"92","f2","DFE2","GRAPES",0.487010835972745,0.00773551351146435,NA,"0% Selfing","Nem10"
"93","f2","DFE3","GRAPES",0.215395359831595,0.00607583133791858,NA,"0% Selfing","Nem10"
"94","f2","DFE1","GRAPES",0.158250040670887,0.033387189814022,NA,"50% Selfing","Nem10"
"95","f2","DFE2","GRAPES",0.499487240576614,0.0192289965509352,NA,"50% Selfing","Nem10"
"96","f2","DFE3","GRAPES",0.213244128715994,0.0210721537390079,NA,"50% Selfing","Nem10"
"97","f2","DFE1","GRAPES",0.0336254932846692,0.0230835178180338,NA,"99% Selfing","Nem10"
"98","f2","DFE2","GRAPES",0.176048237819076,0.0647931743497487,NA,"99% Selfing","Nem10"
"99","f2","DFE3","GRAPES",0.214477250684852,0.0587888891493758,NA,"99% Selfing","Nem10"
"100","f3","DFE1","GRAPES",4.19149771169192e-07,5.74147742391459e-07,NA,"0% Selfing","Nem10"
"101","f3","DFE2","GRAPES",0.155789100782594,0.0127077944677012,NA,"0% Selfing","Nem10"
"102","f3","DFE3","GRAPES",0.576473886554111,0.0119504221804262,NA,"0% Selfing","Nem10"
"103","f3","DFE1","GRAPES",3.34747442707894e-06,6.93867136881813e-06,NA,"50% Selfing","Nem10"
"104","f3","DFE2","GRAPES",0.138863141221899,0.019237702648115,NA,"50% Selfing","Nem10"
"105","f3","DFE3","GRAPES",0.570148938748845,0.0238927095168057,NA,"50% Selfing","Nem10"
"106","f3","DFE1","GRAPES",1.22948596398276e-07,1.98728755472962e-07,NA,"99% Selfing","Nem10"
"107","f3","DFE2","GRAPES",0.00764838312948399,0.0106482346000407,NA,"99% Selfing","Nem10"
"108","f3","DFE3","GRAPES",0.409890616562371,0.0276017987894381,NA,"99% Selfing","Nem10"
