"","generation","DFE","selfing","value","sd","replicate","selfing_class","dominance"
"1","f0","DFE1","0",0.322863359176205,0.00978303649073451,NA,"0% Selfing",0.75
"2","f0","DFE2","0",0.15218957945438,0.00462098166288764,NA,"0% Selfing",0.75
"3","f0","DFE3","0",0.114318037269558,0.00519625945113949,NA,"0% Selfing",0.75
"4","f0","DFE1","50",0.350169446986606,0.00638084015519945,NA,"50% Selfing",0.75
"5","f0","DFE2","50",0.163029544083516,0.00687675366946024,NA,"50% Selfing",0.75
"6","f0","DFE3","50",0.125585850558124,0.00345558324371495,NA,"50% Selfing",0.75
"7","f0","DFE1","99",0.701413693357182,0.0425290473781231,NA,"99% Selfing",0.75
"8","f0","DFE2","99",0.515631160908085,0.00517496202757482,NA,"99% Selfing",0.75
"9","f0","DFE3","99",0.261276929916736,0.0107617176444689,NA,"99% Selfing",0.75
"10","f1","DFE1","0",0.55755681936024,0.0318805553127157,NA,"0% Selfing",0.75
"11","f1","DFE2","0",0.256062151409619,0.0106441130668685,NA,"0% Selfing",0.75
"12","f1","DFE3","0",0.10791149990425,0.00538831449312318,NA,"0% Selfing",0.75
"13","f1","DFE1","50",0.58002978392173,0.0226806539064069,NA,"50% Selfing",0.75
"14","f1","DFE2","50",0.287627177683184,0.00415267146776354,NA,"50% Selfing",0.75
"15","f1","DFE3","50",0.116076979676296,0.00749837060755318,NA,"50% Selfing",0.75
"16","f1","DFE1","99",0.27321770856793,0.0256176221693591,NA,"99% Selfing",0.75
"17","f1","DFE2","99",0.363894444564569,0.0474621282003469,NA,"99% Selfing",0.75
"18","f1","DFE3","99",0.240018228141044,0.0463921770391435,NA,"99% Selfing",0.75
"19","f2","DFE1","0",0.119578755091175,0.0254936844310747,NA,"0% Selfing",0.75
"20","f2","DFE2","0",0.468824314027494,0.0119351082574897,NA,"0% Selfing",0.75
"21","f2","DFE3","0",0.207239819909367,0.0179359446510958,NA,"0% Selfing",0.75
"22","f2","DFE1","50",0.0698007662307747,0.0191198805922275,NA,"50% Selfing",0.75
"23","f2","DFE2","50",0.475043762432856,0.00691412018598682,NA,"50% Selfing",0.75
"24","f2","DFE3","50",0.219542093333643,0.018463564536888,NA,"50% Selfing",0.75
"25","f2","DFE1","99",0.025366620440242,0.0329815913247086,NA,"99% Selfing",0.75
"26","f2","DFE2","99",0.119598873410655,0.0457090795701588,NA,"99% Selfing",0.75
"27","f2","DFE3","99",0.35138573874312,0.0309872838200614,NA,"99% Selfing",0.75
"28","f3","DFE1","0",1.06637238030949e-06,2.10538409864002e-06,NA,"0% Selfing",0.75
"29","f3","DFE2","0",0.122923955108507,0.0200272363295595,NA,"0% Selfing",0.75
"30","f3","DFE3","0",0.570530642916825,0.019574658867261,NA,"0% Selfing",0.75
"31","f3","DFE1","50",2.86088946976903e-09,2.97079557764495e-09,NA,"50% Selfing",0.75
"32","f3","DFE2","50",0.0742995158004445,0.00518799085375292,NA,"50% Selfing",0.75
"33","f3","DFE3","50",0.538795076431938,0.027369972350408,NA,"50% Selfing",0.75
"34","f3","DFE1","99",1.97763464657719e-06,2.84825425447562e-06,NA,"99% Selfing",0.75
"35","f3","DFE2","99",0.000875521116690714,0.00186846970361364,NA,"99% Selfing",0.75
"36","f3","DFE3","99",0.1473191031991,0.0681809923115927,NA,"99% Selfing",0.75
"37","f0","DFE1","Dominance_adjusted_0",0.257525804678846,0,NA,"0% Selfing",0.75
"38","f0","DFE2","Dominance_adjusted_0",0.129717227718964,0,NA,"0% Selfing",0.75
"39","f0","DFE3","Dominance_adjusted_0",0.106551025566835,0,NA,"0% Selfing",0.75
"40","f0","DFE1","Dominance_adjusted_50",0.242791577421123,0,NA,"50% Selfing",0.75
"41","f0","DFE2","Dominance_adjusted_50",0.12503820080854,0,NA,"50% Selfing",0.75
"42","f0","DFE3","Dominance_adjusted_50",0.104208967348689,0,NA,"50% Selfing",0.75
"43","f0","DFE1","Dominance_adjusted_99",0.236797661507502,0,NA,"99% Selfing",0.75
"44","f0","DFE2","Dominance_adjusted_99",0.123115902749665,0,NA,"99% Selfing",0.75
"45","f0","DFE3","Dominance_adjusted_99",0.103237179784896,0,NA,"99% Selfing",0.75
"46","f1","DFE1","Dominance_adjusted_0",0.6670750037309,0,NA,"0% Selfing",0.75
"47","f1","DFE2","Dominance_adjusted_0",0.264706155945689,0,NA,"0% Selfing",0.75
"48","f1","DFE3","Dominance_adjusted_0",0.105869804251171,0,NA,"0% Selfing",0.75
