"","generation","DFE","selfing","value","sd","replicate","selfing_class","intergenic"
"1","f0","DFE1","truth",0.204291490497034,0,1,"0% Selfing",500
"2","f0","DFE1","truth",0.204291490497034,0,2,"50% Selfing",500
"3","f0","DFE1","truth",0.204291490497034,0,6,"99% Selfing",500
"4","f0","DFE2","truth",0.112462916018285,0,1,"0% Selfing",500
"5","f0","DFE2","truth",0.112462916018285,0,2,"50% Selfing",500
"6","f0","DFE2","truth",0.112462916018285,0,6,"99% Selfing",500
"7","f0","DFE3","truth",0.0977430831943102,0,1,"0% Selfing",500
"8","f0","DFE3","truth",0.0977430831943102,0,2,"50% Selfing",500
"9","f0","DFE3","truth",0.0977430831943102,0,6,"99% Selfing",500
"10","f1","DFE1","truth",0.655391553835657,0,1,"0% Selfing",500
"11","f1","DFE1","truth",0.655391553835657,0,2,"50% Selfing",500
"12","f1","DFE1","truth",0.655391553835657,0,6,"99% Selfing",500
"13","f1","DFE2","truth",0.232816237963138,0,1,"0% Selfing",500
"14","f1","DFE2","truth",0.232816237963138,0,2,"50% Selfing",500
"15","f1","DFE2","truth",0.232816237963138,0,6,"99% Selfing",500
"16","f1","DFE3","truth",0.0971585977061945,0,1,"0% Selfing",500
"17","f1","DFE3","truth",0.0971585977061945,0,2,"50% Selfing",500
"18","f1","DFE3","truth",0.0971585977061945,0,6,"99% Selfing",500
"19","f2","DFE1","truth",0.140316945048907,0,1,"0% Selfing",500
"20","f2","DFE1","truth",0.140316945048907,0,2,"50% Selfing",500
"21","f2","DFE1","truth",0.140316945048907,0,6,"99% Selfing",500
"22","f2","DFE2","truth",0.497421638968293,0,1,"0% Selfing",500
"23","f2","DFE2","truth",0.497421638968293,0,2,"50% Selfing",500
"24","f2","DFE2","truth",0.497421638968293,0,6,"99% Selfing",500
"25","f2","DFE3","truth",0.191576054325077,0,1,"0% Selfing",500
"26","f2","DFE3","truth",0.191576054325077,0,2,"50% Selfing",500
"27","f2","DFE3","truth",0.191576054325077,0,6,"99% Selfing",500
"28","f3","DFE1","truth",1.06184019910138e-08,0,1,"0% Selfing",500
"29","f3","DFE1","truth",1.06184019910138e-08,0,2,"50% Selfing",500
"30","f3","DFE1","truth",1.06184019910138e-08,0,6,"99% Selfing",500
"31","f3","DFE2","truth",0.157299207050284,0,1,"0% Selfing",500
"32","f3","DFE2","truth",0.157299207050284,0,2,"50% Selfing",500
"33","f3","DFE2","truth",0.157299207050284,0,6,"99% Selfing",500
"34","f3","DFE3","truth",0.613522264774418,0,1,"0% Selfing",500
"35","f3","DFE3","truth",0.613522264774418,0,2,"50% Selfing",500
"36","f3","DFE3","truth",0.613522264774418,0,6,"99% Selfing",500
"37","f0","DFE1","0",0.215426454004044,0.00997113412905588,NA,"0% Selfing",500
"38","f0","DFE2","0",0.118970019675389,0.00398620043246161,NA,"0% Selfing",500
"39","f0","DFE3","0",0.103822946986676,0.00242459514387882,NA,"0% Selfing",500
"40","f0","DFE1","50",0.221956430016648,0.0198550377534565,NA,"50% Selfing",500
"41","f0","DFE2","50",0.121045418212241,0.00324498171398418,NA,"50% Selfing",500
"42","f0","DFE3","50",0.108707293895373,0.00171660912324558,NA,"50% Selfing",500
"43","f0","DFE1","99",0.588641395713354,0.0291121541819436,NA,"99% Selfing",500
"44","f0","DFE2","99",0.40850572787208,0.0165823428392529,NA,"99% Selfing",500
"45","f0","DFE3","99",0.204647684377994,0.0112368581493569,NA,"99% Selfing",500
"46","f1","DFE1","0",0.635163282808676,0.0312302053382021,NA,"0% Selfing",500
"47","f1","DFE2","0",0.228750273756141,0.00782585619767672,NA,"0% Selfing",500
"48","f1","DFE3","0",0.0989183629083334,0.00164506509838216,NA,"0% Selfing",500
"49","f1","DFE1","50",0.643049335166395,0.0657663774511594,NA,"50% Selfing",500
"50","f1","DFE2","50",0.233475440041847,0.00459315050586399,NA,"50% Selfing",500
"51","f1","DFE3","50",0.100384298296381,0.00333832417052014,NA,"50% Selfing",500
"52","f1","DFE1","99",0.337351199676374,0.0898617047787859,NA,"99% Selfing",500
"53","f1","DFE2","99",0.395300938256957,0.079925680150867,NA,"99% Selfing",500
"54","f1","DFE3","99",0.212834998169421,0.0345987541140781,NA,"99% Selfing",500
"55","f2","DFE1","0",0.149410122785269,0.0228024281974205,NA,"0% Selfing",500
"56","f2","DFE2","0",0.481797916724302,0.0164224919283546,NA,"0% Selfing",500
"57","f2","DFE3","0",0.191117948510904,0.00356297807685007,NA,"0% Selfing",500
"58","f2","DFE1","50",0.134993633057742,0.0497564357634095,NA,"50% Selfing",500
"59","f2","DFE2","50",0.485299799780446,0.00861876020674887,NA,"50% Selfing",500
"60","f2","DFE3","50",0.191143003318574,0.00932319667210755,NA,"50% Selfing",500
"61","f2","DFE1","99",0.0732048312609509,0.0659464851195628,NA,"99% Selfing",500
"62","f2","DFE2","99",0.194023368522936,0.0680519819786731,NA,"99% Selfing",500
"63","f2","DFE3","99",0.362770422602182,0.0546761195256329,NA,"99% Selfing",500
"64","f3","DFE1","0",1.40402011022944e-07,1.58890161555138e-07,NA,"0% Selfing",500
"65","f3","DFE2","0",0.170481789844168,0.0204584391142566,NA,"0% Selfing",500
"66","f3","DFE3","0",0.606140741594086,0.00639988593918108,NA,"0% Selfing",500
"67","f3","DFE1","50",6.01759215507203e-07,9.40752353851154e-07,NA,"50% Selfing",500
"68","f3","DFE2","50",0.160179341965466,0.0110573185464671,NA,"50% Selfing",500
"69","f3","DFE3","50",0.599765404489673,0.0122601655530108,NA,"50% Selfing",500
"70","f3","DFE1","99",0.000802573349320967,0.00109865584460072,NA,"99% Selfing",500
"71","f3","DFE2","99",0.0021699653480272,0.00246371662416277,NA,"99% Selfing",500
"72","f3","DFE3","99",0.219746894850403,0.0785440200607414,NA,"99% Selfing",500
"73","f0","DFE1","0_grapes",0.227258857789521,0.0190263725493568,NA,"0% Selfing",500
