"","generation","DFE","selfing","value","sd","replicate","selfing_class","Nem"
"1","f0","DFE1","truth",0.204291490497034,0,1,"0% Selfing","Nem10"
"2","f0","DFE1","truth",0.204291490497034,0,2,"50% Selfing","Nem10"
"3","f0","DFE1","truth",0.204291490497034,0,6,"99% Selfing","Nem10"
"4","f0","DFE2","truth",0.112462916018285,0,1,"0% Selfing","Nem10"
"5","f0","DFE2","truth",0.112462916018285,0,2,"50% Selfing","Nem10"
"6","f0","DFE2","truth",0.112462916018285,0,6,"99% Selfing","Nem10"
"7","f0","DFE3","truth",0.0977430831943102,0,1,"0% Selfing","Nem10"
"8","f0","DFE3","truth",0.0977430831943102,0,2,"50% Selfing","Nem10"
"9","f0","DFE3","truth",0.0977430831943102,0,6,"99% Selfing","Nem10"
"10","f1","DFE1","truth",0.655391553835657,0,1,"0% Selfing","Nem10"
"11","f1","DFE1","truth",0.655391553835657,0,2,"50% Selfing","Nem10"
"12","f1","DFE1","truth",0.655391553835657,0,6,"99% Selfing","Nem10"
"13","f1","DFE2","truth",0.232816237963138,0,1,"0% Selfing","Nem10"
"14","f1","DFE2","truth",0.232816237963138,0,2,"50% Selfing","Nem10"
"15","f1","DFE2","truth",0.232816237963138,0,6,"99% Selfing","Nem10"
"16","f1","DFE3","truth",0.0971585977061945,0,1,"0% Selfing","Nem10"
"17","f1","DFE3","truth",0.0971585977061945,0,2,"50% Selfing","Nem10"
"18","f1","DFE3","truth",0.0971585977061945,0,6,"99% Selfing","Nem10"
"19","f2","DFE1","truth",0.140316945048907,0,1,"0% Selfing","Nem10"
"20","f2","DFE1","truth",0.140316945048907,0,2,"50% Selfing","Nem10"
"21","f2","DFE1","truth",0.140316945048907,0,6,"99% Selfing","Nem10"
"22","f2","DFE2","truth",0.497421638968293,0,1,"0% Selfing","Nem10"
"23","f2","DFE2","truth",0.497421638968293,0,2,"50% Selfing","Nem10"
"24","f2","DFE2","truth",0.497421638968293,0,6,"99% Selfing","Nem10"
"25","f2","DFE3","truth",0.191576054325077,0,1,"0% Selfing","Nem10"
"26","f2","DFE3","truth",0.191576054325077,0,2,"50% Selfing","Nem10"
"27","f2","DFE3","truth",0.191576054325077,0,6,"99% Selfing","Nem10"
"28","f3","DFE1","truth",1.06184019910138e-08,0,1,"0% Selfing","Nem10"
"29","f3","DFE1","truth",1.06184019910138e-08,0,2,"50% Selfing","Nem10"
"30","f3","DFE1","truth",1.06184019910138e-08,0,6,"99% Selfing","Nem10"
"31","f3","DFE2","truth",0.157299207050284,0,1,"0% Selfing","Nem10"
"32","f3","DFE2","truth",0.157299207050284,0,2,"50% Selfing","Nem10"
"33","f3","DFE2","truth",0.157299207050284,0,6,"99% Selfing","Nem10"
"34","f3","DFE3","truth",0.613522264774418,0,1,"0% Selfing","Nem10"
"35","f3","DFE3","truth",0.613522264774418,0,2,"50% Selfing","Nem10"
"36","f3","DFE3","truth",0.613522264774418,0,6,"99% Selfing","Nem10"
"37","f0","DFE1","DFE-alpha",0.222280762213191,0.0257601441119394,NA,"0% Selfing","Nem10"
"38","f0","DFE2","DFE-alpha",0.12406252374574,0.00481339926457737,NA,"0% Selfing","Nem10"
"39","f0","DFE3","DFE-alpha",0.101745169017491,0.00464162319249821,NA,"0% Selfing","Nem10"
"40","f0","DFE1","DFE-alpha",0.223047403189595,0.0060261526042983,NA,"50% Selfing","Nem10"
"41","f0","DFE2","DFE-alpha",0.122552533574563,0.00490609073432302,NA,"50% Selfing","Nem10"
"42","f0","DFE3","DFE-alpha",0.107335053305246,0.00409560773398249,NA,"50% Selfing","Nem10"
"43","f0","DFE1","DFE-alpha",0.574374526504654,0.0265672938030155,NA,"99% Selfing","Nem10"
"44","f0","DFE2","DFE-alpha",0.413067762317532,0.0156517758942417,NA,"99% Selfing","Nem10"
"45","f0","DFE3","DFE-alpha",0.220508439731702,0.0166992003676802,NA,"99% Selfing","Nem10"
"46","f1","DFE1","DFE-alpha",0.655907754160574,0.0629802669816008,NA,"0% Selfing","Nem10"
"47","f1","DFE2","DFE-alpha",0.230623801868234,0.00349139761006482,NA,"0% Selfing","Nem10"
"48","f1","DFE3","DFE-alpha",0.0964873755981273,0.00162707898613359,NA,"0% Selfing","Nem10"
"49","f1","DFE1","DFE-alpha",0.635862029182291,0.0332518754632572,NA,"50% Selfing","Nem10"
"50","f1","DFE2","DFE-alpha",0.24009252402244,0.0124833084290446,NA,"50% Selfing","Nem10"
"51","f1","DFE3","DFE-alpha",0.101199898727072,0.00374187016149344,NA,"50% Selfing","Nem10"
"52","f1","DFE1","DFE-alpha",0.362012501250961,0.0643088210746559,NA,"99% Selfing","Nem10"
"53","f1","DFE2","DFE-alpha",0.324173787916791,0.0391827056349366,NA,"99% Selfing","Nem10"
"54","f1","DFE3","DFE-alpha",0.170438195711088,0.0164771461912011,NA,"99% Selfing","Nem10"
"55","f2","DFE1","DFE-alpha",0.121811331412357,0.0379891098196387,NA,"0% Selfing","Nem10"
"56","f2","DFE2","DFE-alpha",0.477460141916453,0.0097820350879824,NA,"0% Selfing","Nem10"
"57","f2","DFE3","DFE-alpha",0.186355249253903,0.0071381813099328,NA,"0% Selfing","Nem10"
"58","f2","DFE1","DFE-alpha",0.141090463289825,0.0289892220374551,NA,"50% Selfing","Nem10"
"59","f2","DFE2","DFE-alpha",0.489891942865974,0.0213954262489706,NA,"50% Selfing","Nem10"
"60","f2","DFE3","DFE-alpha",0.194576300015669,0.0111694743897595,NA,"50% Selfing","Nem10"
"61","f2","DFE1","DFE-alpha",0.0634676345948681,0.0500816148510933,NA,"99% Selfing","Nem10"
"62","f2","DFE2","DFE-alpha",0.250712306074664,0.0371829294222462,NA,"99% Selfing","Nem10"
"63","f2","DFE3","DFE-alpha",0.285171610667161,0.0369576358862739,NA,"99% Selfing","Nem10"
"64","f3","DFE1","DFE-alpha",1.52213877907537e-07,3.00708876145288e-07,NA,"0% Selfing","Nem10"
"65","f3","DFE2","DFE-alpha",0.167853532469574,0.00916774517698302,NA,"0% Selfing","Nem10"
"66","f3","DFE3","DFE-alpha",0.615412206130479,0.00566368443260429,NA,"0% Selfing","Nem10"
"67","f3","DFE1","DFE-alpha",1.04338289386163e-07,1.20931573079599e-07,NA,"50% Selfing","Nem10"
"68","f3","DFE2","DFE-alpha",0.147462999537024,0.0289821744090614,NA,"50% Selfing","Nem10"
"69","f3","DFE3","DFE-alpha",0.596888747952013,0.013800186309701,NA,"50% Selfing","Nem10"
"70","f3","DFE1","DFE-alpha",0.000145337649516653,0.000318073039951627,NA,"99% Selfing","Nem10"
"71","f3","DFE2","DFE-alpha",0.012046143691013,0.0119372696435202,NA,"99% Selfing","Nem10"
"72","f3","DFE3","DFE-alpha",0.323881753890049,0.0451395364677893,NA,"99% Selfing","Nem10"
"73","f0","DFE1","GRAPES",0.228849407962315,0.0414302700100166,NA,"0% Selfing","Nem10"
"74","f0","DFE2","GRAPES",0.121981689913806,0.00493555879778762,NA,"0% Selfing","Nem10"
"75","f0","DFE3","GRAPES",0.101001307969338,0.00915738304948054,NA,"0% Selfing","Nem10"
"76","f0","DFE1","GRAPES",0.238063489324039,0.039790184016592,NA,"50% Selfing","Nem10"
"77","f0","DFE2","GRAPES",0.119827998268166,0.00986368741571726,NA,"50% Selfing","Nem10"
"78","f0","DFE3","GRAPES",0.108083577072747,0.00460824573736516,NA,"50% Selfing","Nem10"
"79","f0","DFE1","GRAPES",0.6379002086615,0.0577098259462778,NA,"99% Selfing","Nem10"
"80","f0","DFE2","GRAPES",0.448321437403461,0.0645414719712856,NA,"99% Selfing","Nem10"
"81","f0","DFE3","GRAPES",0.240008293117846,0.0578288230964518,NA,"99% Selfing","Nem10"
"82","f1","DFE1","GRAPES",0.634115909665173,0.0909973514265361,NA,"0% Selfing","Nem10"
"83","f1","DFE2","GRAPES",0.236228576434421,0.00457409447126611,NA,"0% Selfing","Nem10"
"84","f1","DFE3","GRAPES",0.104316657716384,0.00112795497803529,NA,"0% Selfing","Nem10"
"85","f1","DFE1","GRAPES",0.59982470577079,0.0939136139365687,NA,"50% Selfing","Nem10"
"86","f1","DFE2","GRAPES",0.246194483965877,0.011923076418896,NA,"50% Selfing","Nem10"
"87","f1","DFE3","GRAPES",0.108893142171842,0.00408836095348209,NA,"50% Selfing","Nem10"
"88","f1","DFE1","GRAPES",0.34261434649897,0.0547005233830431,NA,"99% Selfing","Nem10"
"89","f1","DFE2","GRAPES",0.27502487392327,0.0308025740462892,NA,"99% Selfing","Nem10"
"90","f1","DFE3","GRAPES",0.138638083513452,0.0186963878290932,NA,"99% Selfing","Nem10"
"91","f2","DFE1","GRAPES",0.137025473483026,0.050955913293373,NA,"0% Selfing","Nem10"
"92","f2","DFE2","GRAPES",0.487406950832094,0.0112411814386539,NA,"0% Selfing","Nem10"
"93","f2","DFE3","GRAPES",0.209421866829102,0.0106429071608247,NA,"0% Selfing","Nem10"
"94","f2","DFE1","GRAPES",0.162082734079242,0.0553967216543905,NA,"50% Selfing","Nem10"
"95","f2","DFE2","GRAPES",0.500483831277772,0.0241240667668496,NA,"50% Selfing","Nem10"
"96","f2","DFE3","GRAPES",0.215144737047198,0.012704411342613,NA,"50% Selfing","Nem10"
"97","f2","DFE1","GRAPES",0.0194854440027784,0.0127515293775244,NA,"99% Selfing","Nem10"
"98","f2","DFE2","GRAPES",0.249430819429357,0.0427079121616148,NA,"99% Selfing","Nem10"
"99","f2","DFE3","GRAPES",0.220148461428137,0.0465310402240228,NA,"99% Selfing","Nem10"
"100","f3","DFE1","GRAPES",9.20888948598431e-06,2.05218738458513e-05,NA,"0% Selfing","Nem10"
"101","f3","DFE2","GRAPES",0.154382782819679,0.0114343021029872,NA,"0% Selfing","Nem10"
"102","f3","DFE3","GRAPES",0.585260167485176,0.00443965306904228,NA,"0% Selfing","Nem10"
"103","f3","DFE1","GRAPES",2.90708259287897e-05,6.34259907305337e-05,NA,"50% Selfing","Nem10"
"104","f3","DFE2","GRAPES",0.133493686488186,0.0268142615693667,NA,"50% Selfing","Nem10"
"105","f3","DFE3","GRAPES",0.567878543708214,0.0153603157069672,NA,"50% Selfing","Nem10"
"106","f3","DFE1","GRAPES",8.36751512522937e-10,1.82317111691307e-09,NA,"99% Selfing","Nem10"
"107","f3","DFE2","GRAPES",0.0272228692439125,0.0312158458000754,NA,"99% Selfing","Nem10"
"108","f3","DFE3","GRAPES",0.401205161940565,0.0247039170051099,NA,"99% Selfing","Nem10"
