"","generation","DFE","selfing","value","sd","replicate","selfing_class","Nem"
"1","f0","DFE1","Simulated DFE",0.204291490497034,0,1,"0% Selfing","Nem05"
"2","f0","DFE1","Simulated DFE",0.204291490497034,0,2,"50% Selfing","Nem05"
"3","f0","DFE1","Simulated DFE",0.204291490497034,0,6,"99% Selfing","Nem05"
"4","f0","DFE2","Simulated DFE",0.112462916018285,0,1,"0% Selfing","Nem05"
"5","f0","DFE2","Simulated DFE",0.112462916018285,0,2,"50% Selfing","Nem05"
"6","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing","Nem05"
"7","f0","DFE3","Simulated DFE",0.0977430831943102,0,1,"0% Selfing","Nem05"
"8","f0","DFE3","Simulated DFE",0.0977430831943102,0,2,"50% Selfing","Nem05"
"9","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing","Nem05"
"10","f1","DFE1","Simulated DFE",0.655391553835657,0,1,"0% Selfing","Nem05"
"11","f1","DFE1","Simulated DFE",0.655391553835657,0,2,"50% Selfing","Nem05"
"12","f1","DFE1","Simulated DFE",0.655391553835657,0,6,"99% Selfing","Nem05"
"13","f1","DFE2","Simulated DFE",0.232816237963138,0,1,"0% Selfing","Nem05"
"14","f1","DFE2","Simulated DFE",0.232816237963138,0,2,"50% Selfing","Nem05"
"15","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing","Nem05"
"16","f1","DFE3","Simulated DFE",0.0971585977061945,0,1,"0% Selfing","Nem05"
"17","f1","DFE3","Simulated DFE",0.0971585977061945,0,2,"50% Selfing","Nem05"
"18","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing","Nem05"
"19","f2","DFE1","Simulated DFE",0.140316945048907,0,1,"0% Selfing","Nem05"
"20","f2","DFE1","Simulated DFE",0.140316945048907,0,2,"50% Selfing","Nem05"
"21","f2","DFE1","Simulated DFE",0.140316945048907,0,6,"99% Selfing","Nem05"
"22","f2","DFE2","Simulated DFE",0.497421638968293,0,1,"0% Selfing","Nem05"
"23","f2","DFE2","Simulated DFE",0.497421638968293,0,2,"50% Selfing","Nem05"
"24","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing","Nem05"
"25","f2","DFE3","Simulated DFE",0.191576054325077,0,1,"0% Selfing","Nem05"
"26","f2","DFE3","Simulated DFE",0.191576054325077,0,2,"50% Selfing","Nem05"
"27","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing","Nem05"
"28","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,1,"0% Selfing","Nem05"
"29","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,2,"50% Selfing","Nem05"
"30","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,6,"99% Selfing","Nem05"
"31","f3","DFE2","Simulated DFE",0.157299207050284,0,1,"0% Selfing","Nem05"
"32","f3","DFE2","Simulated DFE",0.157299207050284,0,2,"50% Selfing","Nem05"
"33","f3","DFE2","Simulated DFE",0.157299207050284,0,6,"99% Selfing","Nem05"
"34","f3","DFE3","Simulated DFE",0.613522264774418,0,1,"0% Selfing","Nem05"
"35","f3","DFE3","Simulated DFE",0.613522264774418,0,2,"50% Selfing","Nem05"
"36","f3","DFE3","Simulated DFE",0.613522264774418,0,6,"99% Selfing","Nem05"
"37","f0","DFE1","DFE-alpha",0.331296726435239,0.0264897593891108,NA,"0% Selfing","Nem05"
"38","f0","DFE2","DFE-alpha",0.146525680014443,0.00457366316407624,NA,"0% Selfing","Nem05"
"39","f0","DFE3","DFE-alpha",0.11005182389647,0.00857508514610503,NA,"0% Selfing","Nem05"
"40","f0","DFE1","DFE-alpha",0.345445715510798,0.0249768265701081,NA,"50% Selfing","Nem05"
"41","f0","DFE2","DFE-alpha",0.152106303491309,0.00634608315169907,NA,"50% Selfing","Nem05"
"42","f0","DFE3","DFE-alpha",0.117013152149691,0.0018721718984927,NA,"50% Selfing","Nem05"
"43","f0","DFE1","DFE-alpha",0.648736454616703,0.0257889873410142,NA,"99% Selfing","Nem05"
"44","f0","DFE2","DFE-alpha",0.446846466972857,0.0131085122407138,NA,"99% Selfing","Nem05"
"45","f0","DFE3","DFE-alpha",0.243291563583417,0.0122120367080202,NA,"99% Selfing","Nem05"
"46","f1","DFE1","DFE-alpha",0.489413633230412,0.0677156223741276,NA,"0% Selfing","Nem05"
"47","f1","DFE2","DFE-alpha",0.220691245230851,0.0023697189990679,NA,"0% Selfing","Nem05"
"48","f1","DFE3","DFE-alpha",0.0970802281670114,0.00706425808002545,NA,"0% Selfing","Nem05"
"49","f1","DFE1","DFE-alpha",0.433172126436174,0.0507103140100574,NA,"50% Selfing","Nem05"
"50","f1","DFE2","DFE-alpha",0.204417647427732,0.0106224149748785,NA,"50% Selfing","Nem05"
"51","f1","DFE3","DFE-alpha",0.0968993369232984,0.00336634475795727,NA,"50% Selfing","Nem05"
"52","f1","DFE1","DFE-alpha",0.20671277403913,0.0256615167438589,NA,"99% Selfing","Nem05"
"53","f1","DFE2","DFE-alpha",0.262848567253959,0.0531349020674097,NA,"99% Selfing","Nem05"
"54","f1","DFE3","DFE-alpha",0.121911401614117,0.00746169976070702,NA,"99% Selfing","Nem05"
"55","f2","DFE1","DFE-alpha",0.178924205892948,0.04374049012347,NA,"0% Selfing","Nem05"
"56","f2","DFE2","DFE-alpha",0.434616096840879,0.00575378217950901,NA,"0% Selfing","Nem05"
"57","f2","DFE3","DFE-alpha",0.18237620813062,0.0235734152765497,NA,"0% Selfing","Nem05"
"58","f2","DFE1","DFE-alpha",0.220353549811419,0.0266286563133926,NA,"50% Selfing","Nem05"
"59","f2","DFE2","DFE-alpha",0.400869725085442,0.0243304855199375,NA,"50% Selfing","Nem05"
"60","f2","DFE3","DFE-alpha",0.175955520546065,0.0085449436582422,NA,"50% Selfing","Nem05"
"61","f2","DFE1","DFE-alpha",0.136294718047375,0.0248645798595587,NA,"99% Selfing","Nem05"
"62","f2","DFE2","DFE-alpha",0.245662694795769,0.0310270528997163,NA,"99% Selfing","Nem05"
"63","f2","DFE3","DFE-alpha",0.181937021787664,0.0163055055514978,NA,"99% Selfing","Nem05"
"64","f3","DFE1","DFE-alpha",0.000365434441400236,0.000776369057838178,NA,"0% Selfing","Nem05"
"65","f3","DFE2","DFE-alpha",0.198166977913827,0.00585837518320528,NA,"0% Selfing","Nem05"
"66","f3","DFE3","DFE-alpha",0.610491739805898,0.0222260547081753,NA,"0% Selfing","Nem05"
"67","f3","DFE1","DFE-alpha",0.0010286082416092,0.00179239670914974,NA,"50% Selfing","Nem05"
"68","f3","DFE2","DFE-alpha",0.242606323995518,0.0298950221671128,NA,"50% Selfing","Nem05"
"69","f3","DFE3","DFE-alpha",0.610131990380946,0.012094238293459,NA,"50% Selfing","Nem05"
"70","f3","DFE1","DFE-alpha",0.0082560532967918,0.00689350273003337,NA,"99% Selfing","Nem05"
"71","f3","DFE2","DFE-alpha",0.0446422709774154,0.0384873702573523,NA,"99% Selfing","Nem05"
"72","f3","DFE3","DFE-alpha",0.452860013014802,0.0174020278494189,NA,"99% Selfing","Nem05"
"73","f0","DFE1","Adjusted DFE",0.219583347255502,0.00225727767081083,NA,"0% Selfing","Nem05"
"74","f0","DFE2","Adjusted DFE",0.118677498193182,0.000678290921452248,NA,"0% Selfing","Nem05"
"75","f0","DFE3","Adjusted DFE",0.101520359359952,0.000459555395701674,NA,"0% Selfing","Nem05"
"76","f0","DFE1","Adjusted DFE",0.210645590023117,0.00172330094842308,NA,"50% Selfing","Nem05"
"77","f0","DFE2","Adjusted DFE",0.116056921114429,0.00101299669795586,NA,"50% Selfing","Nem05"
"78","f0","DFE3","Adjusted DFE",0.10185695038174,0.000258667323663285,NA,"50% Selfing","Nem05"
"79","f0","DFE1","Adjusted DFE",0.432185750380993,0.06119172520671,NA,"99% Selfing","Nem05"
"80","f0","DFE2","Adjusted DFE",0.294712817546967,0.0613305791718812,NA,"99% Selfing","Nem05"
"81","f0","DFE3","Adjusted DFE",0.166421469990567,0.00371560502384736,NA,"99% Selfing","Nem05"
"82","f1","DFE1","Adjusted DFE",0.662398908666969,0.000816317589629602,NA,"0% Selfing","Nem05"
"83","f1","DFE2","Adjusted DFE",0.244470238020831,0.00126319998904723,NA,"0% Selfing","Nem05"
"84","f1","DFE3","Adjusted DFE",0.100896292802946,0.000454569856780358,NA,"0% Selfing","Nem05"
"85","f1","DFE1","Adjusted DFE",0.658706001025604,0.000833012152974538,NA,"50% Selfing","Nem05"
"86","f1","DFE2","Adjusted DFE",0.239576975105394,0.00189757656249106,NA,"50% Selfing","Nem05"
"87","f1","DFE3","Adjusted DFE",0.101229234811081,0.000255840034665557,NA,"50% Selfing","Nem05"
"88","f1","DFE1","Adjusted DFE",0.559019553310902,0.0541635976148367,NA,"99% Selfing","Nem05"
"89","f1","DFE2","Adjusted DFE",0.462217800694289,0.0431724076406165,NA,"99% Selfing","Nem05"
"90","f1","DFE3","Adjusted DFE",0.164414905549032,0.00357950944952403,NA,"99% Selfing","Nem05"
"91","f2","DFE1","Adjusted DFE",0.118017742042395,0.00307338511005213,NA,"0% Selfing","Nem05"
"92","f2","DFE2","Adjusted DFE",0.501385076692324,0.000325032323473008,NA,"0% Selfing","Nem05"
"93","f2","DFE3","Adjusted DFE",0.198629537041687,0.000854696617136885,NA,"0% Selfing","Nem05"
"94","f2","DFE1","Adjusted DFE",0.130648403559272,0.00255613083062456,NA,"50% Selfing","Nem05"
"95","f2","DFE2","Adjusted DFE",0.499974328547464,0.000619650404022444,NA,"50% Selfing","Nem05"
"96","f2","DFE3","Adjusted DFE",0.19925559173108,0.000480650111992909,NA,"50% Selfing","Nem05"
"97","f2","DFE1","Adjusted DFE",0.00879469630810417,0.00742355986892691,NA,"99% Selfing","Nem05"
"98","f2","DFE2","Adjusted DFE",0.241606185677686,0.101850414582812,NA,"99% Selfing","Nem05"
"99","f2","DFE3","Adjusted DFE",0.306129439433316,0.00509504509607364,NA,"99% Selfing","Nem05"
"100","f3","DFE1","Adjusted DFE",2.03513446650483e-09,5.42297175769435e-10,NA,"0% Selfing","Nem05"
"101","f3","DFE2","Adjusted DFE",0.135467187093663,0.0022664514870719,NA,"0% Selfing","Nem05"
"102","f3","DFE3","Adjusted DFE",0.598953810795415,0.00176882185595295,NA,"0% Selfing","Nem05"
"103","f3","DFE1","Adjusted DFE",5.39200696869635e-09,1.06030118090885e-09,NA,"50% Selfing","Nem05"
"104","f3","DFE2","Adjusted DFE",0.144391775232712,0.00352969080764058,NA,"50% Selfing","Nem05"
"105","f3","DFE3","Adjusted DFE",0.597658223076099,0.0009951574667417,NA,"50% Selfing","Nem05"
"106","f3","DFE1","Adjusted DFE",2.22044604925031e-17,3.04047097224406e-17,NA,"99% Selfing","Nem05"
"107","f3","DFE2","Adjusted DFE",0.00146319608105787,0.0025135801767833,NA,"99% Selfing","Nem05"
"108","f3","DFE3","Adjusted DFE",0.363034185027086,0.0123900569388597,NA,"99% Selfing","Nem05"
"109","f0","DFE1","GRAPES",0.343895198559084,0.0111803206247466,NA,"0% Selfing","Nem05"
"110","f0","DFE2","GRAPES",0.157635799832533,0.011741755950891,NA,"0% Selfing","Nem05"
"111","f0","DFE3","GRAPES",0.123744097042688,0.0160561341357898,NA,"0% Selfing","Nem05"
"112","f0","DFE1","GRAPES",0.397573960557313,0.0461012333929596,NA,"50% Selfing","Nem05"
"113","f0","DFE2","GRAPES",0.156654418506444,0.00770483587062822,NA,"50% Selfing","Nem05"
"114","f0","DFE3","GRAPES",0.129436103010453,0.00245694674343384,NA,"50% Selfing","Nem05"
"115","f0","DFE1","GRAPES",0.696849231973253,0.0521727037920055,NA,"99% Selfing","Nem05"
"116","f0","DFE2","GRAPES",0.612328777275073,0.0905756738211873,NA,"99% Selfing","Nem05"
"117","f0","DFE3","GRAPES",0.351159206048532,0.028749677127573,NA,"99% Selfing","Nem05"
"118","f1","DFE1","GRAPES",0.505073540676703,0.0377463911649663,NA,"0% Selfing","Nem05"
"119","f1","DFE2","GRAPES",0.231656176195665,0.00846680171724266,NA,"0% Selfing","Nem05"
"120","f1","DFE3","GRAPES",0.1046069232941,0.00695581144681255,NA,"0% Selfing","Nem05"
"121","f1","DFE1","GRAPES",0.416958887232919,0.0577175642412345,NA,"50% Selfing","Nem05"
"122","f1","DFE2","GRAPES",0.223136415474441,0.0125054544275802,NA,"50% Selfing","Nem05"
"123","f1","DFE3","GRAPES",0.105395669959257,0.00267119292021937,NA,"50% Selfing","Nem05"
"124","f1","DFE1","GRAPES",0.28557385066728,0.0419712454092393,NA,"99% Selfing","Nem05"
"125","f1","DFE2","GRAPES",0.24230693979123,0.0206066149674061,NA,"99% Selfing","Nem05"
"126","f1","DFE3","GRAPES",0.124090563680284,0.00744996936964625,NA,"99% Selfing","Nem05"
