,matchname,B,empirical_Ne,DFE,selfing,true_mean,true_shape,adjusted_gamma,gamma,b,GammaZero.negGmean,GammaZero.negGshape,F,selfing_Ne,selfing_B,empircal_B_selfing_adjust,F_adjusted_gamma,deltaNe,newNE,newNegamma
1,DFE1output1,0.923345292929293,4616.72646464647,DFE1,0,5,0.9,4.61672646464647,4.91798384,0.8861,5.368331,0.807562,0,5000,1,0.923345292929293,5,383.273535353534,4616.72646464647,4.61672646464647
2,DFE1output1,0.755157171717172,3775.78585858586,DFE1,50,5,0.9,3.77578585858586,6.62956284,0.4566,7.29156,0.401821,0.333333333333333,3750,0.75,1.00687622895623,3.75,-25.7858585858585,5025.78585858586,5.02578585858586
3,DFE1output1,0.667138909090909,3335.69454545454,DFE1,80,5,0.9,3.33569454545454,3.8522104,0.7213,4.027714,0.736756,0.666666666666667,3000,0.6,1.11189818181818,3,-335.694545454545,5335.69454545454,5.33569454545454
4,DFE1output1,0.444362505050505,2221.81252525253,DFE1,90,5,0.9,2.22181252525252,2.8596007,0.3839,2.974725,0.363904,0.818181818181818,2750,0.55,0.807931827364554,2.75,528.187474747475,4471.81252525253,4.47181252525253
5,DFE1output1,0.259635070707071,1298.17535353535,DFE1,95,5,0.9,1.29817535353535,4.34944314,0.2015,1.895719,0.260622,0.904761904761905,2625,0.525,0.494542991822992,2.625,1326.82464646465,3673.17535353535,3.67317535353535
6,DFE1output1,0.198879191919192,994.39595959596,DFE1,99,5,0.9,0.994395959595959,2.13738294,0.1279,1.000161,0.351168,0.98019801980198,2525,0.505,0.393820182018202,2.525,1530.60404040404,3469.39595959596,3.46939595959596
7,DFE1output2,0.897099313131313,4485.49656565656,DFE1,0,5,0.9,4.48549656565656,5.61301784,0.6988,5.742236,0.70978,0,5000,1,0.897099313131313,5,514.503434343435,4485.49656565656,4.48549656565656
8,DFE1output2,0.796160969696969,3980.80484848485,DFE1,50,5,0.9,3.98080484848485,3.94625592,0.7632,4.26546,0.725081,0.333333333333333,3750,0.75,1.06154795959596,3.75,-230.804848484847,5230.80484848485,5.23080484848485
9,DFE1output2,0.712092282828283,3560.46141414141,DFE1,80,5,0.9,3.56046141414141,5.65506392,0.6871,6.550751,0.555325,0.666666666666667,3000,0.6,1.18682047138047,3,-560.461414141414,5560.46141414141,5.56046141414142
10,DFE1output2,0.434740363636364,2173.70181818182,DFE1,90,5,0.9,2.17370181818182,4.2597872,0.247,3.057485,0.355724,0.818181818181818,2750,0.55,0.790437024793388,2.75,576.298181818182,4423.70181818182,4.42370181818182
11,DFE1output2,0.383928242424242,1919.64121212121,DFE1,95,5,0.9,1.91964121212121,3.2645151,0.2398,1.585324,0.277394,0.904761904761905,2625,0.525,0.73129189033189,2.625,705.358787878788,4294.64121212121,4.29464121212121
12,DFE1output2,0.18554602020202,927.730101010101,DFE1,99,5,0.9,0.927730101010101,1.739155,0.1213,1.000001,0.393045,0.98019801980198,2525,0.505,0.367417861786179,2.525,1597.2698989899,3402.7301010101,3.4027301010101
13,DFE1output3,0.926773494949495,4633.86747474747,DFE1,0,5,0.9,4.63386747474747,5.71917516,0.6647,5.118355,0.857984,0,5000,1,0.926773494949495,5,366.132525252526,4633.86747474747,4.63386747474747
14,DFE1output3,0.757811717171717,3789.05858585859,DFE1,50,5,0.9,3.78905858585859,5.4538154,0.5664,6.066394,0.458613,0.333333333333333,3750,0.75,1.01041562289562,3.75,-39.0585858585855,5039.05858585859,5.03905858585859
15,DFE1output3,0.679773898989899,3398.86949494949,DFE1,80,5,0.9,3.39886949494949,4.05800164,0.6555,4.978427,0.485758,0.666666666666667,3000,0.6,1.1329564983165,3,-398.869494949494,5398.86949494949,5.3988694949495
16,DFE1output3,0.398032,1990.16,DFE1,90,5,0.9,1.99016,2.4051643,0.4501,2.626942,0.49406,0.818181818181818,2750,0.55,0.723694545454545,2.75,759.84,4240.16,4.24016
17,DFE1output3,0.33340395959596,1667.0197979798,DFE1,95,5,0.9,1.6670197979798,1.97808772,0.401,2.220178,0.575909,0.904761904761905,2625,0.525,0.635055161135161,2.625,957.980202020202,4042.0197979798,4.0420197979798
18,DFE1output3,0.234991838383838,1174.95919191919,DFE1,99,5,0.9,1.17495919191919,4.32198432,0.1248,1.000001,0.276366,0.98019801980198,2525,0.505,0.465330373037304,2.525,1350.04080808081,3649.95919191919,3.64995919191919
19,DFE1output4,0.942352484848485,4711.76242424242,DFE1,0,5,0.9,4.71176242424242,5.58154862,0.7139,5.592825,0.759206,0,5000,1,0.942352484848485,5,288.237575757576,4711.76242424242,4.71176242424242
20,DFE1output4,0.764573090909091,3822.86545454545,DFE1,50,5,0.9,3.82286545454545,4.94312544,0.6459,4.924271,0.722162,0.333333333333333,3750,0.75,1.01943078787879,3.75,-72.8654545454538,5072.86545454545,5.07286545454545
21,DFE1output4,0.686836363636364,3434.18181818182,DFE1,80,5,0.9,3.43418181818182,4.23838476,0.5666,5.01026,0.465401,0.666666666666667,3000,0.6,1.14472727272727,3,-434.181818181818,5434.18181818182,5.43418181818182
22,DFE1output4,0.412847515151515,2064.23757575758,DFE1,90,5,0.9,2.06423757575758,4.316895,0.2506,3.747752,0.400948,0.818181818181818,2750,0.55,0.750631845730027,2.75,685.762424242424,4314.23757575758,4.31423757575758
23,DFE1output4,0.342709333333333,1713.54666666667,DFE1,95,5,0.9,1.71354666666667,5.60432052,0.1664,2.555323,0.243967,0.904761904761905,2625,0.525,0.652779682539682,2.625,911.453333333333,4088.54666666667,4.08854666666667
24,DFE1output4,0.189531151515152,947.655757575758,DFE1,99,5,0.9,0.947655757575758,2.73898944,0.124,1.692397,0.33748,0.98019801980198,2525,0.505,0.375309210921092,2.525,1577.34424242424,3422.65575757576,3.42265575757576
25,DFE1output5,0.935088484848485,4675.44242424242,DFE1,0,5,0.9,4.67544242424242,4.85418996,0.8491,4.867388,0.877201,0,5000,1,0.935088484848485,5,324.557575757576,4675.44242424242,4.67544242424242
26,DFE1output5,0.744855595959596,3724.27797979798,DFE1,50,5,0.9,3.72427797979798,4.22254872,0.7576,4.674923,0.589672,0.333333333333333,3750,0.75,0.993140794612794,3.75,25.7220202020208,4974.27797979798,4.97427797979798
27,DFE1output5,0.72386004040404,3619.3002020202,DFE1,80,5,0.9,3.6193002020202,3.71630474,0.6661,4.25107,0.570321,0.666666666666667,3000,0.6,1.2064334006734,3,-619.300202020202,5619.3002020202,5.6193002020202
28,DFE1output5,0.453229575757576,2266.14787878788,DFE1,90,5,0.9,2.26614787878788,5.12658532,0.2439,3.007948,0.24021,0.818181818181818,2750,0.55,0.824053774104683,2.75,483.852121212122,4516.14787878788,4.51614787878788
29,DFE1output5,0.368236929292929,1841.18464646465,DFE1,95,5,0.9,1.84118464646465,2.44599488,0.3069,2.159223,0.444678,0.904761904761905,2625,0.525,0.701403674843675,2.625,783.815353535354,4216.18464646465,4.21618464646465
30,DFE1output5,0.192812444444444,964.062222222222,DFE1,99,5,0.9,0.964062222222222,1.07477088,0.3354,1,0.347563,0.98019801980198,2525,0.505,0.381806820682068,2.525,1560.93777777778,3439.06222222222,3.43906222222222
31,DFE2output1,0.876196202020202,4380.98101010101,DFE2,0,50,0.5,43.8098101010101,48.40288912,0.4767,43.800954,0.497331,0,5000,1,0.876196202020202,50,619.018989898991,4380.98101010101,43.8098101010101
32,DFE2output1,0.681945696969697,3409.72848484848,DFE2,50,50,0.5,34.0972848484848,47.87199024,0.4247,51.173553,0.423774,0.333333333333333,3750,0.75,0.909260929292929,37.5,340.271515151516,4659.72848484848,46.5972848484848
33,DFE2output1,0.531226828282828,2656.13414141414,DFE2,80,50,0.5,26.5613414141414,30.71969304,0.4589,39.069182,0.429583,0.666666666666667,3000,0.6,0.885378047138047,30,343.865858585859,4656.13414141414,46.5613414141414
34,DFE2output1,0.174497616161616,872.488080808081,DFE2,90,50,0.5,8.72488080808081,12.97014174,0.3527,19.960343,0.267854,0.818181818181818,2750,0.55,0.31726839302112,27.5,1877.51191919192,3122.48808080808,31.2248808080808
35,DFE2output1,0.113895434343434,569.477171717172,DFE2,95,50,0.5,5.69477171717172,18.8542688,0.233,22.600952,0.229662,0.904761904761905,2625,0.525,0.216943684463684,26.25,2055.52282828283,2944.47717171717,29.4447717171717
36,DFE2output1,0.0582728080808081,291.36404040404,DFE2,99,50,0.5,2.9136404040404,7.772905,0.2103,6.207552,0.171646,0.98019801980198,2525,0.505,0.115391699169917,25.25,2233.63595959596,2766.36404040404,27.6636404040404
37,DFE2output2,0.905669171717172,4528.34585858586,DFE2,0,50,0.5,45.2834585858586,48.63680362,0.4768,42.531847,0.510787,0,5000,1,0.905669171717172,50,471.654141414142,4528.34585858586,45.2834585858586
38,DFE2output2,0.675062141414141,3375.31070707071,DFE2,50,50,0.5,33.7531070707071,46.3745895,0.4449,52.067776,0.424647,0.333333333333333,3750,0.75,0.900082855218855,37.5,374.689292929293,4625.31070707071,46.2531070707071
39,DFE2output2,0.549118545454545,2745.59272727273,DFE2,80,50,0.5,27.4559272727273,30.30371262,0.4537,42.243561,0.388026,0.666666666666667,3000,0.6,0.915197575757576,30,254.407272727273,4745.59272727273,47.4559272727273
40,DFE2output2,0.175253818181818,876.269090909091,DFE2,90,50,0.5,8.76269090909091,11.45886106,0.3756,19.231355,0.230855,0.818181818181818,2750,0.55,0.318643305785124,27.5,1873.73090909091,3126.26909090909,31.2626909090909
41,DFE2output2,0.0996386262626263,498.193131313131,DFE2,95,50,0.5,4.98193131313131,15.89928048,0.2598,19.550051,0.192052,0.904761904761905,2625,0.525,0.18978785954786,26.25,2126.80686868687,2873.19313131313,28.7319313131313
42,DFE2output2,0.0791919191919192,395.959595959596,DFE2,99,50,0.5,3.95959595959596,11.13188868,0.1721,1.574305,0.168375,0.98019801980198,2525,0.505,0.156815681568157,25.25,2129.0404040404,2870.9595959596,28.709595959596
43,DFE2output3,0.912657777777778,4563.28888888889,DFE2,0,50,0.5,45.6328888888889,62.2004088,0.4392,63.174085,0.427103,0,5000,1,0.912657777777778,50,436.711111111112,4563.28888888889,45.6328888888889
44,DFE2output3,0.680029575757576,3400.14787878788,DFE2,50,50,0.5,34.0014787878788,38.54013246,0.4863,41.820565,0.479774,0.333333333333333,3750,0.75,0.906706101010101,37.5,349.852121212121,4650.14787878788,46.5014787878788
45,DFE2output3,0.500518464646465,2502.59232323232,DFE2,80,50,0.5,25.0259232323232,33.32191362,0.4429,44.726346,0.389929,0.666666666666667,3000,0.6,0.834197441077441,30,497.407676767677,4502.59232323232,45.0259232323232
46,DFE2output3,0.19466004040404,973.300202020202,DFE2,90,50,0.5,9.73300202020202,12.55339838,0.3954,23.684679,0.261432,0.818181818181818,2750,0.55,0.353927346189164,27.5,1776.6997979798,3223.3002020202,32.233002020202
47,DFE2output3,0.119969131313131,599.845656565657,DFE2,95,50,0.5,5.99845656565657,8.67969998,0.3314,15.499717,0.222422,0.904761904761905,2625,0.525,0.228512631072631,26.25,2025.15434343434,2974.84565656566,29.7484565656566
48,DFE2output3,0.0646152727272727,323.076363636364,DFE2,99,50,0.5,3.23076363636364,15.566259,0.1395,9.360459,0.18895,0.98019801980198,2525,0.505,0.12795103510351,25.25,2201.92363636364,2798.07636363636,27.9807636363636
49,DFE2output4,0.897543919191919,4487.7195959596,DFE2,0,50,0.5,44.877195959596,57.02444282,0.4502,57.734077,0.446652,0,5000,1,0.897543919191919,50,512.280404040404,4487.7195959596,44.877195959596
50,DFE2output4,0.689995151515151,3449.97575757576,DFE2,50,50,0.5,34.4997575757576,33.56528928,0.5212,37.496216,0.485912,0.333333333333333,3750,0.75,0.919993535353535,37.5,300.024242424243,4699.97575757576,46.9997575757576
51,DFE2output4,0.515671919191919,2578.3595959596,DFE2,80,50,0.5,25.783595959596,32.31340672,0.478,40.724115,0.42804,0.666666666666667,3000,0.6,0.859453198653199,30,421.640404040405,4578.3595959596,45.7835959595959
52,DFE2output4,0.178103595959596,890.51797979798,DFE2,90,50,0.5,8.9051797979798,16.3406152,0.3278,24.944864,0.264713,0.818181818181818,2750,0.55,0.323824719926538,27.5,1859.48202020202,3140.51797979798,31.4051797979798
53,DFE2output4,0.105475878787879,527.379393939394,DFE2,95,50,0.5,5.27379393939394,11.16856104,0.3,18.734347,0.188892,0.904761904761905,2625,0.525,0.200906435786436,26.25,2097.62060606061,2902.37939393939,29.0237939393939
54,DFE2output4,0.0472837171717172,236.418585858586,DFE2,99,50,0.5,2.36418585858586,7.5990604,0.2188,4.07627,0.1773,0.98019801980198,2525,0.505,0.0936311231123112,25.25,2288.58141414141,2711.41858585859,27.1141858585859
55,DFE2output5,0.908286222222222,4541.43111111111,DFE2,0,50,0.5,45.4143111111111,48.89808312,0.4675,43.077342,0.512085,0,5000,1,0.908286222222222,50,458.568888888889,4541.43111111111,45.4143111111111
56,DFE2output5,0.659339636363636,3296.69818181818,DFE2,50,50,0.5,32.9669818181818,43.69495,0.4521,50.30301,0.420072,0.333333333333333,3750,0.75,0.879119515151515,37.5,453.301818181819,4546.69818181818,45.4669818181818
57,DFE2output5,0.520324202020202,2601.62101010101,DFE2,80,50,0.5,26.0162101010101,36.00684744,0.4353,52.48154,0.367432,0.666666666666667,3000,0.6,0.867207003367003,30,398.37898989899,4601.62101010101,46.0162101010101
58,DFE2output5,0.205858747474747,1029.29373737374,DFE2,90,50,0.5,10.2929373737374,13.6688448,0.3272,22.854855,0.250542,0.818181818181818,2750,0.55,0.374288631772268,27.5,1720.70626262626,3279.29373737374,32.7929373737374
59,DFE2output5,0.113365818181818,566.829090909091,DFE2,95,50,0.5,5.66829090909091,15.3877005,0.2515,19.633962,0.194608,0.904761904761905,2625,0.525,0.215934891774892,26.25,2058.17090909091,2941.82909090909,29.4182909090909
60,DFE2output5,0.0629047272727273,314.523636363636,DFE2,99,50,0.5,3.14523636363636,6.6344808,0.2164,1.794129,0.171661,0.98019801980198,2525,0.505,0.124563816381638,25.25,2210.47636363636,2789.52363636364,27.8952363636364
61,DFE3output1,0.855458747474747,4277.29373737374,DFE3,0,1000,0.3,855.458747474747,1167.79489816,0.2899,843.028236,0.30147,0,5000,1,0.855458747474747,1000,722.706262626262,4277.29373737374,855.458747474748
62,DFE3output1,0.650413898989899,3252.06949494949,DFE3,50,1000,0.3,650.413898989899,828.02136584,0.291,652.916509,0.29827,0.333333333333333,3750,0.75,0.867218531986532,750,497.930505050505,4502.06949494949,900.413898989899
63,DFE3output1,0.500152565656566,2500.76282828283,DFE3,80,1000,0.3,500.152565656566,671.34944818,0.2865,639.381714,0.275505,0.666666666666667,3000,0.6,0.833587609427609,600,499.237171717172,4500.76282828283,900.152565656566
64,DFE3output1,0.152885494949495,764.427474747475,DFE3,90,1000,0.3,152.885494949495,178.56363168,0.2898,471.433726,0.204493,0.818181818181818,2750,0.55,0.2779736271809,550,1985.57252525253,3014.42747474747,602.885494949495
65,DFE3output1,0.0509252525252525,254.626262626263,DFE3,95,1000,0.3,50.9252525252525,177.6689508,0.2553,502.889691,0.163206,0.904761904761905,2625,0.525,0.097000481000481,525,2370.37373737374,2629.62626262626,525.925252525253
66,DFE3output1,0.0479261414141414,239.630707070707,DFE3,99,1000,0.3,47.9261414141414,62.207286,0.2509,140.314075,0.23259,0.98019801980198,2525,0.505,0.0949032503250325,505,2285.36929292929,2714.63070707071,542.926141414141
67,DFE3output2,0.855958787878788,4279.79393939394,DFE3,0,1000,0.3,855.958787878788,1109.01816432,0.2899,747.259388,0.303391,0,5000,1,0.855958787878788,1000,720.20606060606,4279.79393939394,855.958787878788
68,DFE3output2,0.658393535353535,3291.96767676768,DFE3,50,1000,0.3,658.393535353535,636.44466196,0.3076,518.35069,0.315801,0.333333333333333,3750,0.75,0.877858047138047,750,458.032323232324,4541.96767676768,908.393535353535
69,DFE3output2,0.485279676767677,2426.39838383838,DFE3,80,1000,0.3,485.279676767677,620.4181443,0.2934,698.44201,0.274137,0.666666666666667,3000,0.6,0.808799461279461,600,573.601616161617,4426.39838383838,885.279676767677
70,DFE3output2,0.155921939393939,779.609696969697,DFE3,90,1000,0.3,155.921939393939,332.72861776,0.2413,587.215632,0.199754,0.818181818181818,2750,0.55,0.283494435261708,550,1970.3903030303,3029.6096969697,605.921939393939
