"","generation","DFE","selfing","value","sd","replicate","selfing_class","scale"
"1","f0","DFE1","Simulated DFE",0.204291490497034,0,1,"0% Selfing",50
"2","f0","DFE1","Simulated DFE",0.204291490497034,0,2,"50% Selfing",50
"3","f0","DFE1","Simulated DFE",0.204291490497034,0,3,"80% Selfing",50
"4","f0","DFE1","Simulated DFE",0.204291490497034,0,4,"90% Selfing",50
"5","f0","DFE1","Simulated DFE",0.204291490497034,0,5,"95% Selfing",50
"6","f0","DFE1","Simulated DFE",0.204291490497034,0,6,"99% Selfing",50
"7","f0","DFE2","Simulated DFE",0.112462916018285,0,1,"0% Selfing",50
"8","f0","DFE2","Simulated DFE",0.112462916018285,0,2,"50% Selfing",50
"9","f0","DFE2","Simulated DFE",0.112462916018285,0,3,"80% Selfing",50
"10","f0","DFE2","Simulated DFE",0.112462916018285,0,4,"90% Selfing",50
"11","f0","DFE2","Simulated DFE",0.112462916018285,0,5,"95% Selfing",50
"12","f0","DFE2","Simulated DFE",0.112462916018285,0,6,"99% Selfing",50
"13","f0","DFE3","Simulated DFE",0.0977430831943102,0,1,"0% Selfing",50
"14","f0","DFE3","Simulated DFE",0.0977430831943102,0,2,"50% Selfing",50
"15","f0","DFE3","Simulated DFE",0.0977430831943102,0,3,"80% Selfing",50
"16","f0","DFE3","Simulated DFE",0.0977430831943102,0,4,"90% Selfing",50
"17","f0","DFE3","Simulated DFE",0.0977430831943102,0,5,"95% Selfing",50
"18","f0","DFE3","Simulated DFE",0.0977430831943102,0,6,"99% Selfing",50
"19","f1","DFE1","Simulated DFE",0.655391553835657,0,1,"0% Selfing",50
"20","f1","DFE1","Simulated DFE",0.655391553835657,0,2,"50% Selfing",50
"21","f1","DFE1","Simulated DFE",0.655391553835657,0,3,"80% Selfing",50
"22","f1","DFE1","Simulated DFE",0.655391553835657,0,4,"90% Selfing",50
"23","f1","DFE1","Simulated DFE",0.655391553835657,0,5,"95% Selfing",50
"24","f1","DFE1","Simulated DFE",0.655391553835657,0,6,"99% Selfing",50
"25","f1","DFE2","Simulated DFE",0.232816237963138,0,1,"0% Selfing",50
"26","f1","DFE2","Simulated DFE",0.232816237963138,0,2,"50% Selfing",50
"27","f1","DFE2","Simulated DFE",0.232816237963138,0,3,"80% Selfing",50
"28","f1","DFE2","Simulated DFE",0.232816237963138,0,4,"90% Selfing",50
"29","f1","DFE2","Simulated DFE",0.232816237963138,0,5,"95% Selfing",50
"30","f1","DFE2","Simulated DFE",0.232816237963138,0,6,"99% Selfing",50
"31","f1","DFE3","Simulated DFE",0.0971585977061945,0,1,"0% Selfing",50
"32","f1","DFE3","Simulated DFE",0.0971585977061945,0,2,"50% Selfing",50
"33","f1","DFE3","Simulated DFE",0.0971585977061945,0,3,"80% Selfing",50
"34","f1","DFE3","Simulated DFE",0.0971585977061945,0,4,"90% Selfing",50
"35","f1","DFE3","Simulated DFE",0.0971585977061945,0,5,"95% Selfing",50
"36","f1","DFE3","Simulated DFE",0.0971585977061945,0,6,"99% Selfing",50
"37","f2","DFE1","Simulated DFE",0.140316945048907,0,1,"0% Selfing",50
"38","f2","DFE1","Simulated DFE",0.140316945048907,0,2,"50% Selfing",50
"39","f2","DFE1","Simulated DFE",0.140316945048907,0,3,"80% Selfing",50
"40","f2","DFE1","Simulated DFE",0.140316945048907,0,4,"90% Selfing",50
"41","f2","DFE1","Simulated DFE",0.140316945048907,0,5,"95% Selfing",50
"42","f2","DFE1","Simulated DFE",0.140316945048907,0,6,"99% Selfing",50
"43","f2","DFE2","Simulated DFE",0.497421638968293,0,1,"0% Selfing",50
"44","f2","DFE2","Simulated DFE",0.497421638968293,0,2,"50% Selfing",50
"45","f2","DFE2","Simulated DFE",0.497421638968293,0,3,"80% Selfing",50
"46","f2","DFE2","Simulated DFE",0.497421638968293,0,4,"90% Selfing",50
"47","f2","DFE2","Simulated DFE",0.497421638968293,0,5,"95% Selfing",50
"48","f2","DFE2","Simulated DFE",0.497421638968293,0,6,"99% Selfing",50
"49","f2","DFE3","Simulated DFE",0.191576054325077,0,1,"0% Selfing",50
"50","f2","DFE3","Simulated DFE",0.191576054325077,0,2,"50% Selfing",50
"51","f2","DFE3","Simulated DFE",0.191576054325077,0,3,"80% Selfing",50
"52","f2","DFE3","Simulated DFE",0.191576054325077,0,4,"90% Selfing",50
"53","f2","DFE3","Simulated DFE",0.191576054325077,0,5,"95% Selfing",50
"54","f2","DFE3","Simulated DFE",0.191576054325077,0,6,"99% Selfing",50
"55","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,1,"0% Selfing",50
"56","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,2,"50% Selfing",50
"57","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,3,"80% Selfing",50
"58","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,4,"90% Selfing",50
"59","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,5,"95% Selfing",50
"60","f3","DFE1","Simulated DFE",1.06184019910138e-08,0,6,"99% Selfing",50
"61","f3","DFE2","Simulated DFE",0.157299207050284,0,1,"0% Selfing",50
"62","f3","DFE2","Simulated DFE",0.157299207050284,0,2,"50% Selfing",50
"63","f3","DFE2","Simulated DFE",0.157299207050284,0,3,"80% Selfing",50
"64","f3","DFE2","Simulated DFE",0.157299207050284,0,4,"90% Selfing",50
"65","f3","DFE2","Simulated DFE",0.157299207050284,0,5,"95% Selfing",50
"66","f3","DFE2","Simulated DFE",0.157299207050284,0,6,"99% Selfing",50
"67","f3","DFE3","Simulated DFE",0.613522264774418,0,1,"0% Selfing",50
"68","f3","DFE3","Simulated DFE",0.613522264774418,0,2,"50% Selfing",50
"69","f3","DFE3","Simulated DFE",0.613522264774418,0,3,"80% Selfing",50
"70","f3","DFE3","Simulated DFE",0.613522264774418,0,4,"90% Selfing",50
"71","f3","DFE3","Simulated DFE",0.613522264774418,0,5,"95% Selfing",50
"72","f3","DFE3","Simulated DFE",0.613522264774418,0,6,"99% Selfing",50
"73","f0","DFE1","DFE-alpha",0.225447948732906,0.0113009773498787,NA,"0% Selfing",50
"74","f0","DFE2","DFE-alpha",0.120385899025992,0.00530361350153086,NA,"0% Selfing",50
"75","f0","DFE3","DFE-alpha",0.101694956605138,0.00526090552905479,NA,"0% Selfing",50
"76","f0","DFE1","DFE-alpha",0.22656678189757,0.024458664124955,NA,"50% Selfing",50
"77","f0","DFE2","DFE-alpha",0.115005466052942,0.00551109076949236,NA,"50% Selfing",50
"78","f0","DFE3","DFE-alpha",0.102036766339302,0.00723630119868777,NA,"50% Selfing",50
"79","f0","DFE1","DFE-alpha",0.237984622869186,0.0186439210589739,NA,"80% Selfing",50
